WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2008                                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Money amounts are in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* indicates that the value in the cell has been suppressed to avoid disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Size of Adjusted Gross Income,Zip Code,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,Taxable Interest,Ordinary Dividends,Business or profession net income (less loss),Net capital gain (less loss) in AGI,Taxable Individual Retirement Arrangement distributions,Pensions and annuities in AGI,Unemployment compensation in AGI,Social Security benefits in AGI,Self-employment retirement plans,Total itemized deductions,State and Local Income taxes,State and local general sales taxes,Real estate taxes,Taxes paid,Mortgage Interest paid,Contributions,Taxable income,Total tax credits,Residential Energy Credit,Child tax credit,Child and dependent care credit,Earned income credit,Excess earned income credit (refundable),Alternative minimum tax,Income tax,Total tax liability,Tax due at time of filing,Overpayments refunded,
"$10,000 under $25,000",98588, 140 , 41 , 57 , 216 , 25 ," 2,313 "," 1,585 ", 108 , 12 , 77 , 8 , -   , 425 , -   , -   , -   , 248 , -   , 14 , 28 , 43 , 143 , 9 , 603 , 5 , -   , -   , -   , 64 , 63 , -   , 60 , 88 , 10 , (198),
"$25,000 under $50,000",98588, 163 , 78 , 72 , 338 , 58 ," 5,959 "," 3,926 ", 135 , 51 , 124 , (8), 270 ," 1,194 ", 114 , 205 , -   , 967 , 17 , 50 , 95 , 163 , 496 , 22 ," 2,932 ", 45 , -   , 36 , 6 , 29 , 24 , -   , 313 , 343 , 31 , (299),
"$50,000 under $75,000",98588, 112 , 67 , 56 , 250 , 39 ," 6,980 "," 4,640 ", 129 , 63 , (63), 38 , 185 ," 1,306 ", 66 , 456 , -   ," 1,020 ", -   , 85 , 103 , 203 , 586 , 55 ," 4,521 ", 44 , -   , 41 , -   , -   , -   , -   , 590 , 616 , 39 , (262),
"$75,000 under $100,000",98588, 59 , 47 , 37 , 134 , 15 ," 5,031 "," 3,192 ", 191 , 24 , 142 , 32 , 562 , 853 , -   , 382 , -   , 846 , -   , 95 , 88 , 202 , 463 , 75 ," 3,478 ", 29 , -   , 23 , -   , -   , -   , -   , 483 , 511 , -   , (163),
"$100,000 under $200,000",98588, 67 , 59 , 34 , 165 , 26 ," 8,793 "," 6,203 ", 91 , 186 , -   , 47 , -   , 682 , -   , -   , -   ," 1,364 ", -   , 124 , 152 , 307 , 676 , 67 ," 6,686 ", 19 , -   , -   , -   , -   , -   , -   ," 1,087 "," 1,130 ", 55 , (169),
"$200,000 or more",98588, * , * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98589," 3,459 "," 1,572 "," 1,458 "," 6,885 "," 1,144 "," 170,858 "," 133,420 "," 3,425 "," 1,103 "," 3,895 "," 4,063 "," 3,069 "," 14,637 "," 1,629 "," 4,049 ", -   ," 26,508 ", 390 ," 1,900 "," 3,042 "," 6,008 "," 14,594 "," 1,794 "," 109,060 "," 1,149 ", -   , 879 , 71 , 805 , 712 , 66 ," 15,668 "," 16,586 "," 1,325 "," (7,724)",
"Under $10,000",98589, 533 , 66 , 189 , 604 , 89 ," 1,790 "," 2,599 ", 301 , 50 , (183), (2), 46 , 260 , 45 , -   , -   , 770 , -   , 10 , 105 , 135 , 386 , 16 , 127 , -   , -   , -   , -   , 171 , 156 , -   , 14 , 47 , 18 , (416),
"$10,000 under $25,000",98589, 672 , 141 , 280 ," 1,084 ", 178 ," 11,680 "," 8,584 ", 386 , 137 , 369 , (14), 376 ," 1,665 ", 278 , 54 , -   ," 1,607 ", -   , 87 , 188 , 287 , 756 , 72 ," 3,308 ", 38 , -   , 17 , -   , 481 , 438 , -   , 322 , 405 , 40 ," (1,248)",
"$25,000 under $50,000",98589, 884 , 305 , 368 ," 1,686 ", 270 ," 32,573 "," 25,581 ", 568 , 193 , 892 , 48 , 519 ," 3,415 ", 516 , 839 , -   ," 4,355 ", 47 , 233 , 502 , 802 ," 2,388 ", 225 ," 17,617 ", 246 , -   , 191 , 15 , 153 , 118 , 11 ," 1,997 "," 2,193 ", 138 ," (1,781)",
"$50,000 under $75,000",98589, 620 , 379 , 261 ," 1,474 ", 264 ," 38,243 "," 31,281 ", 477 , 153 ," 1,278 ", 166 , 715 ," 2,704 ", 365 ," 1,262 ", -   ," 6,592 ", 112 , 413 , 708 ," 1,662 "," 3,742 ", 320 ," 24,046 ", 383 , -   , 323 , 14 , -   , -   , -   ," 3,022 "," 3,285 ", 231 ," (1,545)",
"$75,000 under $100,000",98589, 397 , 349 , 189 ," 1,100 ", 197 ," 33,938 "," 28,128 ", 562 , 133 , 835 , 250 , 539 ," 2,327 ", 228 ," 1,091 ", -   ," 5,569 ", 63 , 492 , 654 ," 1,231 "," 3,175 ", 504 ," 23,017 ", 324 , -   , 249 , 19 , -   , -   , -   ," 2,980 "," 3,136 ", 192 ," (1,150)",
"$100,000 under $200,000",98589, 315 , 300 , 139 , 840 , 129 ," 39,718 "," 30,728 ", 824 , 236 , 703 , 961 , 874 ," 3,599 ", 197 , 802 , -   ," 6,400 ", 100 , 595 , 741 ," 1,474 "," 3,650 ", 530 ," 29,634 ", 159 , -   , 99 , 23 , -   , -   , -   ," 4,917 "," 5,052 ", 446 ," (1,082)",
"$200,000 or more",98589, 38 , 32 , 32 , 97 , 17 ," 12,917 "," 6,519 ", 309 , 200 , -   ," 2,654 ", -   , 668 , -   , -   , -   ," 1,214 ", 68 , 71 , 144 , 417 , 498 , 126 ," 11,310 ", -   , -   , -   , -   , -   , -   , 55 ," 2,417 "," 2,467 ", 260 , (501),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98591," 1,834 ", 896 ," 1,056 "," 3,737 ", 600 ," 81,063 "," 57,266 "," 2,566 "," 1,077 "," 1,436 "," 1,678 "," 2,493 "," 8,753 ", 963 ," 2,762 ", -   ," 10,758 ", 128 , 826 ," 1,222 "," 2,293 "," 5,038 ", 947 ," 51,136 ", 548 , -   , 430 , 8 , 552 , 491 , -   ," 7,413 "," 7,898 ", 695 ," (3,751)",
"Under $10,000",98591, 342 , 75 , 179 , 432 , 56 , 533 ," 1,508 ", 223 , 58 , (289), (28), 108 , 215 , -   , -   , -   , 697 , 12 , 17 , 84 , 130 , 264 , 10 , 84 , -   , -   , -   , -   , 111 , 98 , -   , 12 , 29 , 8 , (296),
"$10,000 under $25,000",98591, 435 , 116 , 245 , 759 , 135 ," 7,589 "," 5,476 ", 445 , 49 , 323 , (16), 222 ," 1,037 ", 205 , 56 , -   , 951 , -   , 33 , 107 , 149 , 412 , 42 ," 2,032 ", 28 , -   , 14 , -   , 363 , 328 , -   , 193 , 276 , 38 , (824),
"$25,000 under $50,000",98591, 445 , 211 , 251 , 958 , 161 ," 16,383 "," 12,178 ", 543 , 183 , 252 , 310 , 539 ," 2,031 ", 320 , 623 , -   ," 1,953 ", -   , 106 , 183 , 329 , 848 , 175 ," 8,170 ", 163 , -   , 124 , -   , 79 , 65 , -   , 826 , 936 , 54 ," (1,000)",
"$50,000 under $75,000",98591, 295 , 207 , 181 , 731 , 118 ," 18,091 "," 13,738 ", 380 , 215 , 459 , 155 , 340 ," 1,980 ", 222 , 901 , -   ," 2,675 ", 33 , 196 , 283 , 525 ," 1,374 ", 170 ," 11,224 ", 172 , -   , 148 , 8 , -   , -   , -   ," 1,357 "," 1,448 ", 127 , (671),
"$75,000 under $100,000",98591, 171 , 154 , 103 , 460 , 73 ," 14,674 "," 11,235 ", 193 , 224 , 250 , 70 , 360 ," 1,611 ", 136 , 629 , -   ," 2,039 ", 39 , 177 , 260 , 486 ," 1,019 ", 247 ," 10,193 ", 106 , -   , 93 , -   , -   , -   , -   ," 1,328 "," 1,393 ", 120 , (473),
"$100,000 under $200,000",98591, 128 , 116 , 83 , 352 , 57 ," 15,863 "," 10,640 ", 403 , 349 , 442 ," 1,001 ", 924 ," 1,879 ", 80 , 553 , -   ," 2,025 ", 44 , 217 , 224 , 486 ," 1,122 ", 247 ," 12,101 ", 78 , -   , 52 , -   , -   , -   , -   ," 1,969 "," 2,063 ", 349 , (488),
"$200,000 or more",98591, 18 , 17 , 14 , 45 , -   ," 7,930 "," 2,491 ", 379 , -   , -   , 186 , -   , -   , -   , -   , -   , 418 , -   , 79 , 82 , 187 , -   , 58 ," 7,332 ", -   , -   , -   , -   , -   , -   , -   ," 1,728 "," 1,753 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98592, 912 , 494 , 475 ," 1,682 ", 181 ," 53,755 "," 27,196 "," 1,911 "," 2,009 "," 1,304 "," 3,054 "," 3,056 "," 8,503 ", 231 ," 3,314 ", -   ," 8,949 ", 140 , 638 ," 1,097 "," 1,960 "," 4,346 ", 980 ," 36,693 ", 173 , -   , 100 , -   , 101 , 86 , -   ," 5,674 "," 5,964 ", 782 ," (1,645)",
"Under $10,000",98592, 138 , 30 , 56 , 166 , 16 , 183 , 544 , 53 , 91 , (37), (21), -   , 66 , 23 , -   , -   , 472 , -   , 14 , 77 , 97 , 204 , -   , 13 , -   , -   , -   , -   , 30 , 26 , -   , 1 , 11 , -   , (86),
"$10,000 under $25,000",98592, 167 , 54 , 81 , 250 , 29 ," 2,931 "," 1,578 ", 125 , 180 , 111 , (30), 136 , 867 , -   , 33 , -   , 888 , -   , 29 , 105 , 151 , 387 , 35 , 708 , 6 , -   , -   , -   , 51 , 42 , -   , 68 , 95 , 19 , (218),
"$25,000 under $50,000",98592, 211 , 91 , 119 , 387 , 46 ," 7,737 "," 4,129 ", 351 , 331 , 469 , 22 , 453 ," 1,478 ", 116 , 443 , -   ," 1,704 ", 23 , 72 , 206 , 306 , 829 , 175 ," 3,700 ", 37 , -   , 32 , -   , 20 , 19 , -   , 396 , 475 , 50 , (368),
"$50,000 under $75,000",98592, 166 , 116 , 96 , 347 , 37 ," 10,232 "," 5,901 ", 282 , 160 , 291 , 114 , 674 ," 1,915 ", 53 , 912 , -   ," 1,720 ", 65 , 145 , 176 , 374 , 862 , 164 ," 6,440 ", 60 , -   , 49 , -   , -   , -   , -   , 810 , 875 , 60 , (365),
"$75,000 under $100,000",98592, 96 , 78 , 43 , 212 , 22 ," 8,273 "," 4,127 ", 322 , 198 , 242 , 54 , 536 ," 1,805 ", 39 , 857 , -   ," 1,346 ", -   , 146 , 158 , 328 , 584 , 163 ," 5,739 ", 30 , -   , -   , -   , -   , -   , -   , 806 , 853 , 108 , (263),
"$100,000 under $200,000",98592, 117 , 108 , 67 , 282 , 31 ," 15,070 "," 8,809 ", 560 , 471 , 227 , 788 ," 1,257 "," 2,373 ", -   , 794 , -   ," 2,273 ", 52 , 183 , 272 , 516 ," 1,480 ", 317 ," 11,445 ", 40 , -   , 20 , -   , -   , -   , -   ," 1,902 "," 1,938 ", 162 , (345),
"$200,000 or more",98592, 17 , 17 , 13 , 38 , -   ," 9,328 "," 2,107 ", 218 , 578 , -   ," 2,125 ", -   , -   , -   , 274 , -   , 547 , -   , 49 , 103 , 187 , -   , 126 ," 8,649 ", -   , -   , -   , -   , -   , -   , -   ," 1,691 "," 1,718 ", 383 , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98593, 483 , 214 , 252 , 978 , 164 ," 16,847 "," 12,752 ", 196 , 56 , (40), (19), 291 ," 1,997 ", 222 , 599 , -   ," 1,721 ", 14 , 83 , 105 , 264 , 882 , 99 ," 9,437 ", 133 , -   , 106 , -   , 223 , 209 , -   ," 1,197 "," 1,281 ", 95 , (990),
"Under $10,000",98593, 91 , 13 , 38 , 100 , -   , 303 , 318 , 23 , -   , -   , -   , -   , 121 , -   , -   , -   , -   , -   , -   , -   , -   , 103 , -   , 19 , -   , -   , -   , -   , 20 , 18 , -   , -   , -   , -   , (59),
"$10,000 under $25,000",98593, 146 , 47 , 73 , 282 , 65 ," 2,516 "," 1,820 ", 56 , 26 , (22), (13), 104 , 423 , 55 , -   , -   , 199 , -   , 6 , 18 , 30 , -   , -   , 525 , 9 , -   , 8 , -   , 173 , 164 , -   , 48 , 65 , -   , (350),
"$25,000 under $50,000",98593, 122 , 55 , 64 , 264 , 41 ," 4,507 "," 3,673 ", 67 , 4 , (18), (6), 187 , 529 , 84 , 135 , -   , 463 , 14 , 24 , 34 , 72 , 260 , 29 ," 2,324 ", 37 , -   , 29 , -   , 30 , 27 , -   , 252 , 255 , 7 , (288),
"$50,000 under $75,000",98593, 76 , 58 , 48 , 208 , 40 ," 4,755 "," 3,739 ", 22 , 26 , -   , -   , -   , 373 , 82 , 246 , -   , 621 , -   , 52 , 35 , 79 , 291 , 60 ," 2,956 ", 56 , -   , 48 , -   , -   , -   , -   , 343 , 348 , 28 , (207),
"$75,000 under $100,000",98593, 29 , 24 , 19 , 71 , 18 ," 2,499 "," 1,698 ", 26 , -   , -   , -   , -   , 551 , -   , 219 , -   , 239 , -   , -   , -   , 33 , 117 , 10 ," 1,824 ", 30 , -   , 21 , -   , -   , -   , -   , 256 , 272 , 60 , (85),
"$100,000 under $200,000",98593, 19 , 17 , 10 , 53 , -   ," 2,267 "," 1,503 ", 2 , -   , -   , -   , -   , -   , -   , -   , -   , 198 , -   , -   , 18 , 51 , 111 , -   ," 1,788 ", -   , -   , -   , -   , -   , -   , -   , 299 , 340 , -   , -   ,
"$200,000 or more",98593, * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98595," 1,441 ", 539 , 765 ," 2,678 ", 404 ," 58,632 "," 33,143 "," 1,994 "," 1,078 "," 3,990 ", 721 ," 1,204 "," 6,031 ", 646 ," 2,226 ", -   ," 6,615 ", 88 , 470 , 692 ," 1,304 "," 2,699 ", 489 ," 37,509 ", 254 , -   , 191 , 9 , 448 , 387 , -   ," 5,633 "," 6,345 "," 1,333 "," (2,336)",
"Under $10,000",98595, 301 , 52 , 141 , 357 , 46 , 853 ," 1,043 ", 122 , 34 , (102), (11), 60 , 194 , 38 , -   , -   , 421 , -   , 14 , 40 , 55 , 110 , -   , 31 , -   , -   , -   , -   , 82 , 76 , -   , 3 , 29 , 14 , (173),
"$10,000 under $25,000",98595, 364 , 85 , 173 , 675 , 122 ," 6,321 "," 4,082 ", 212 , 71 , 663 , 4 , 196 , 922 , 169 , 24 , -   , 663 , -   , 26 , 56 , 89 , 225 , 33 ," 1,691 ", 15 , -   , 9 , -   , 290 , 255 , -   , 168 , 273 , 76 , (635),
"$25,000 under $50,000",98595, 410 , 137 , 229 , 807 , 131 ," 14,827 "," 10,370 ", 435 , 113 , 655 , 104 , 279 ," 2,110 ", 189 , 516 , -   ," 1,470 ", 22 , 83 , 142 , 252 , 685 , 144 ," 8,140 ", 103 , -   , 78 , 5 , 75 , 56 , -   , 928 ," 1,068 ", 165 , (729),
"$50,000 under $75,000",98595, 176 , 111 , 97 , 407 , 56 ," 10,715 "," 6,767 ", 369 , 194 , 759 , 101 , 433 ," 1,092 ", 125 , 649 , -   ," 1,494 ", 18 , 116 , 162 , 310 , 591 , 97 ," 6,828 ", 87 , -   , 69 , 4 , -   , -   , -   , 871 ," 1,011 ", 157 , (367),
"$75,000 under $100,000",98595, 98 , 79 , 59 , 217 , 23 ," 8,309 "," 5,893 ", 195 , 150 , 409 , 225 , 91 , 458 , 126 , 403 , -   , 823 , 47 , 79 , 88 , 181 , 396 , 79 ," 6,067 ", 35 , -   , 35 , -   , -   , -   , -   , 838 , 921 , 198 , (242),
"$100,000 under $200,000",98595, 77 , 62 , 52 , 173 , 26 ," 10,365 "," 4,987 ", 417 , 518 ," 1,605 ", 298 , 144 ," 1,255 ", -   , 635 , -   ," 1,330 ", -   , 152 , 147 , 287 , 693 , 136 ," 8,086 ", 14 , -   , -   , -   , -   , -   , -   ," 1,448 "," 1,647 ", 723 , (190),
"$200,000 or more",98595, 15 , 13 , 14 , 42 , -   ," 7,242 ", -   , 244 , -   , -   , -   , -   , -   , -   , -   , -   , 413 , -   , -   , 57 , 130 , -   , -   ," 6,666 ", -   , -   , -   , -   , -   , -   , -   ," 1,377 "," 1,396 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98596," 2,591 "," 1,248 "," 1,435 "," 5,442 ", 909 ," 107,893 "," 80,905 "," 2,402 "," 1,166 "," 1,920 "," 1,662 "," 3,043 "," 11,264 "," 1,221 "," 3,664 ", -   ," 14,527 ", 294 , 979 ," 1,250 "," 2,649 "," 6,878 "," 1,314 "," 64,086 ", 792 , -   , 637 , 16 , 867 , 786 , 12 ," 8,670 "," 9,283 ", 984 ," (5,316)",
"Under $10,000",98596, 456 , 83 , 216 , 575 , 81 ," 1,764 "," 1,989 ", 113 , 37 , (209), (24), 145 , 274 , 53 , -   , -   , 666 , -   , 18 , 50 , 74 , 277 , 22 , 79 , -   , -   , -   , -   , 173 , 161 , -   , 8 , 39 , 11 , (390),
"$10,000 under $25,000",98596, 582 , 154 , 309 ," 1,053 ", 198 ," 10,190 "," 7,794 ", 337 , 85 , 333 , (23), 186 ," 1,560 ", 242 , 65 , -   ," 1,145 ", 8 , 89 , 84 , 181 , 515 , 83 ," 2,597 ", 40 , -   , 22 , -   , 528 , 482 , -   , 239 , 310 , 33 ," (1,216)",
"$25,000 under $50,000",98596, 735 , 342 , 415 ," 1,601 ", 264 ," 26,750 "," 20,539 ", 620 , 268 , 537 , 154 , 590 ," 3,087 ", 412 , 812 , -   ," 3,183 ", 31 , 167 , 265 , 506 ," 1,381 ", 235 ," 13,482 ", 222 , -   , 181 , 3 , 166 , 143 , -   ," 1,432 "," 1,591 ", 131 ," (1,551)",
"$50,000 under $75,000",98596, 418 , 322 , 244 ," 1,121 ", 193 ," 25,639 "," 19,830 ", 419 , 107 , 619 , 183 , 538 ," 2,696 ", 323 ," 1,235 ", -   ," 3,735 ", 45 , 307 , 310 , 682 ," 1,995 ", 272 ," 15,645 ", 280 , -   , 235 , 6 , -   , -   , -   ," 1,816 "," 1,939 ", 203 , (990),
"$75,000 under $100,000",98596, 229 , 203 , 134 , 633 , 101 ," 19,556 "," 15,026 ", 361 , 214 , 377 , 172 , 653 ," 1,784 ", 101 , 921 , -   ," 2,774 ", 52 , 176 , 240 , 486 ," 1,390 ", 280 ," 13,486 ", 179 , -   , 150 , 7 , -   , -   , 12 ," 1,733 "," 1,810 ", 155 , (611),
"$100,000 under $200,000",98596, 156 , 131 , 106 , 426 , 72 ," 19,684 "," 13,787 ", 441 , 455 , 264 ," 1,201 ", 931 ," 1,863 ", 90 , 629 , -   ," 2,649 ", 158 , 220 , 266 , 603 ," 1,320 ", 422 ," 15,002 ", 70 , -   , 50 , -   , -   , -   , -   ," 2,534 "," 2,661 ", 450 , (557),
"$200,000 or more",98596, 15 , 13 , 11 , 33 , -   ," 4,310 "," 1,941 ", 111 , -   , -   , -   , -   , -   , -   , -   , -   , 376 , -   , -   , 36 , 116 , -   , -   ," 3,796 ", -   , -   , -   , -   , -   , -   , -   , 908 , 932 , -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98597," 9,068 "," 4,337 "," 4,126 "," 19,998 "," 3,749 "," 425,165 "," 336,784 "," 7,678 "," 4,482 "," 8,223 "," 6,141 "," 5,784 "," 36,368 "," 3,894 "," 8,334 ", 105 ," 71,918 ", 873 ," 4,774 "," 8,466 "," 14,496 "," 42,270 "," 5,019 "," 255,850 "," 3,894 ", -   ," 3,014 ", 232 ," 3,163 "," 2,846 ", 272 ," 37,031 "," 39,091 "," 3,463 "," (23,406)",
"Under $10,000",98597," 1,352 ", 207 , 515 ," 1,634 ", 255 ," 4,375 "," 5,997 ", 407 , 168 , 264 , (113), 198 , 719 , 115 , -   , -   ," 2,353 ", 22 , 39 , 263 , 328 ," 1,466 ", 45 , 287 , -   , -   , -   , -   , 505 , 452 , -   , 30 , 153 , 41 ," (1,244)",
"$10,000 under $25,000",98597," 1,907 ", 517 , 852 ," 3,530 ", 661 ," 33,158 "," 25,612 ", 693 , 320 ," 1,430 ", (18), 432 ," 4,004 ", 855 , 129 , -   ," 4,782 ", 37 , 198 , 527 , 783 ," 2,600 ", 224 ," 8,397 ", 110 , -   , 52 , 6 ," 1,924 "," 1,754 ", -   , 800 ," 1,117 ", 134 ," (4,493)",
"$25,000 under $50,000",98597," 2,587 "," 1,081 "," 1,177 "," 5,789 "," 1,135 "," 94,486 "," 77,704 "," 1,232 ", 372 ," 1,581 ", 303 , 993 ," 8,725 "," 1,350 "," 1,889 ", -   ," 15,284 ", 161 , 854 ," 1,794 "," 2,887 "," 9,134 ", 776 ," 45,838 "," 1,074 ", -   , 810 , 65 , 734 , 640 , 45 ," 4,678 "," 5,068 ", 362 ," (7,292)",
"$50,000 under $75,000",98597," 1,587 "," 1,098 ", 771 ," 4,275 ", 820 ," 98,318 "," 83,593 ", 946 , 497 ," 1,318 ", 303 ," 1,272 "," 7,349 ", 835 ," 2,724 ", -   ," 18,052 ", 185 ," 1,147 "," 2,035 "," 3,473 "," 11,202 "," 1,165 "," 58,688 "," 1,356 ", -   ," 1,117 ", 69 , -   , -   , -   ," 6,774 "," 7,097 ", 507 ," (4,648)",
"$75,000 under $100,000",98597, 869 , 742 , 414 ," 2,598 ", 503 ," 74,757 "," 62,941 ", 798 , 205 , 934 , 386 , 893 ," 6,089 ", 407 ," 1,800 ", -   ," 13,934 ", 168 ," 1,133 "," 1,662 "," 3,047 "," 8,583 ", 912 ," 49,263 ", 928 , -   , 747 , 50 , -   , -   , -   ," 6,211 "," 6,463 ", 359 ," (3,038)",
"$100,000 under $200,000",98597, 701 , 642 , 347 ," 2,006 ", 351 ," 88,906 "," 71,506 ", 873 , 497 ," 2,109 "," 1,185 "," 1,995 "," 8,232 ", 332 ," 1,531 ", 105 ," 14,864 ", 217 ," 1,214 "," 1,850 "," 3,366 "," 8,500 "," 1,278 "," 65,510 ", 391 , -   , 289 , 42 , -   , -   , 26 ," 11,064 "," 11,462 "," 1,064 "," (1,970)",
"$200,000 or more",98597, 65 , 50 , 50 , 166 , 24 ," 31,163 "," 9,432 "," 2,729 "," 2,424 ", 586 ," 4,095 ", -   ," 1,250 ", -   , 261 , -   ," 2,650 ", 82 , 189 , 336 , 612 , 784 , 618 ," 27,867 ", 34 , -   , -   , -   , -   , -   , 200 ," 7,474 "," 7,731 ", 995 , (721),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98601," 1,267 ", 689 , 668 ," 2,957 ", 456 ," 63,309 "," 50,305 ", 920 , 332 ," 1,365 "," 1,244 ", 940 ," 4,564 ", 679 ," 1,490 ", -   ," 13,128 ", 982 , 470 ," 1,484 "," 2,996 "," 6,607 ", 740 ," 37,291 ", 548 , -   , 470 , 13 , 260 , 212 , -   ," 4,963 "," 5,293 ", 450 ," (2,909)",
"Under $10,000",98601, 205 , 40 , 83 , 253 , 31 , 471 , 982 , 119 , 35 , (74), 217 , -   , 80 , -   , -   , -   , 434 , 14 , -   , 50 , 59 , 171 , -   , 47 , -   , -   , -   , -   , 60 , 53 , -   , 5 , 16 , 2 , (199),
"$10,000 under $25,000",98601, 220 , 46 , 100 , 360 , 53 ," 3,789 "," 2,489 ", 122 , 42 , 399 , 1 , 58 , 563 , 118 , 23 , -   , 654 , 14 , 18 , 84 , 115 , 275 , 48 ," 1,087 ", 10 , -   , -   , -   , 143 , 112 , -   , 108 , 179 , 26 , (338),
"$25,000 under $50,000",98601, 294 , 140 , 158 , 657 , 100 ," 10,812 "," 8,287 ", 224 , 40 , 435 , 35 , 337 , 941 , 307 , 271 , -   ," 2,185 ", 55 , 76 , 246 , 389 ," 1,112 ", 79 ," 5,087 ", 91 , -   , 73 , -   , 57 , 47 , -   , 532 , 613 , 63 , (615),
"$50,000 under $75,000",98601, 254 , 203 , 155 , 769 , 125 ," 15,808 "," 13,083 ", 139 , 150 , 354 , 145 , 182 ," 1,310 ", 146 , 508 , -   ," 3,220 ", 196 , 130 , 334 , 665 ," 1,794 ", 110 ," 8,882 ", 196 , -   , 178 , 6 , -   , -   , -   , 973 ," 1,036 ", 78 , (752),
"$75,000 under $100,000",98601, 157 , 132 , 92 , 484 , 77 ," 13,482 "," 11,141 ", 133 , 9 , 101 , 258 , 363 , 819 , 53 , 321 , -   ," 3,077 ", 311 , 90 , 341 , 755 ," 1,559 ", 267 ," 8,445 ", 168 , -   , 146 , 6 , -   , -   , -   ," 1,032 "," 1,087 ", 77 , (480),
"$100,000 under $200,000",98601, 126 , 118 , 70 , 391 , 70 ," 15,703 "," 12,699 ", 184 , 56 , 151 , 587 , -   , 851 , 54 , 367 , -   ," 2,968 ", 392 , 156 , 380 , 852 ," 1,695 ", 236 ," 11,213 ", 84 , -   , 74 , -   , -   , -   , -   ," 1,827 "," 1,875 ", 204 , (525),
"$200,000 or more",98601, 11 , 10 , 10 , 43 , -   ," 3,244 "," 1,623 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 590 , -   , -   , 49 , 162 , -   , -   ," 2,530 ", -   , -   , -   , -   , -   , -   , -   , 487 , 487 , -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98603, 359 , 201 , 170 , 770 , 129 ," 17,537 "," 13,618 ", 332 , 69 , 63 , (26), 129 ," 1,128 ", 166 , 331 , -   ," 3,282 ", 174 , 142 , 371 , 732 ," 1,686 ", 137 ," 10,059 ", 147 , -   , 115 , 4 , 78 , 49 , -   ," 1,345 "," 1,425 ", 67 , (796),
"Under $10,000",98603, 64 , 13 , 27 , 72 , 12 , 178 , 329 , 26 , 17 , 56 , (28), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 135 , -   , 19 , -   , -   , -   , -   , 18 , 15 , -   , 2 , 5 , -   , (44),
"$10,000 under $25,000",98603, 59 , 19 , 29 , 100 , 16 ," 1,006 ", 628 , 61 , 22 , -   , -   , -   , 169 , -   , -   , -   , 399 , -   , -   , 70 , 92 , -   , -   , 257 , 3 , -   , -   , -   , 40 , 33 , -   , 25 , 39 , -   , (83),
"$25,000 under $50,000",98603, 88 , 48 , 39 , 195 , 31 ," 3,363 "," 2,543 ", 127 , -   , (12), 1 , 129 , 312 , 96 , 132 , -   , 458 , 30 , 14 , 50 , 95 , 248 , 29 ," 1,661 ", 33 , -   , 25 , -   , 20 , -   , -   , 168 , 183 , 19 , (185),
"$50,000 under $75,000",98603, 70 , 53 , 29 , 179 , 32 ," 4,339 "," 3,646 ", 15 , 10 , 19 , -   , -   , 407 , 71 , 199 , -   , 919 , 47 , 73 , 92 , 219 , 526 , 45 ," 2,444 ", 55 , -   , 38 , 4 , -   , -   , -   , 276 , 292 , -   , (237),
