adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,total_tax_number_of_returns,total_tax_amount,contributions_number_of_returns,contributions_amount,schedule_c_number_of_returns,schedule_f_number_of_returns,schedule_a_deductions_number_of_returns
"$10,000 under $25,000",65,120,32,"1,102",41,590,26,61,*       49,*         34,**,**,*       20,**,*       12
"$25,000 under $50,000",58,164,63,"2,093",48,"1,499",29,30,47,109,*       22,*       28,**,**,23
"$50,000 or more      ",46,131,41,"3,392",36,"1,947",39,26,46,371,22,65,11,*       19,23
,,,,,,,,,,,,,,,
98535,206,371,73,"6,790",149,"3,291",99,332,139,693,26,40,27,--,36
"Under $10,000        ",50,75,18,246,38,176,12,16,**,**,**,**,*       13,--,**
"$10,000 under $25,000",67,127,29,"1,144",48,742,27,41,*       51,*         40,*       15,*       25,**,--,**
"$25,000 under $50,000",51,95,17,"1,826",37,"1,071",28,63,50,147,**,**,*       14,--,*       21
"$50,000 or more      ",38,74,9,"3,574",26,"1,302",32,212,38,506,11,15,**,--,15
,,,,,,,,,,,,,,,
98536,68,133,37,"1,438",52,"1,215",26,19,43,88,**,**,15,--,12
"Under $10,000        ",16,24,3,17,**,**,**,**,**,**,**,**,**,--,**
"$10,000 under $25,000",28,51,13,472,*       28,*        350,*       26,*       19,*       23,*         16,**,**,*       15,--,*       12
"$25,000 under $50,000",*       24,*       58,*       21,*        949,*       24,*        865,**,**,*       20,*         72,**,**,**,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
,,,,,,,,,,,,,,,
98537,997,"1,982",594,"38,178",844,"30,660",536,751,765,"3,904",185,307,109,14,234
"Under $10,000        ",181,189,45,830,138,681,59,57,39,10,**,**,16,**,**
"$10,000 under $25,000",236,393,94,"4,001",171,"2,641",107,160,170,153,*       17,*       25,20,*       14,*       29
"$25,000 under $50,000",279,590,192,"10,123",250,"8,377",127,204,256,724,51,100,32,**,66
"$50,000 or more      ",301,810,263,"23,224",285,"18,961",243,330,300,"3,017",117,182,41,**,139
,,,,,,,,,,,,,,,
98538,162,327,102,"5,318",121,"3,985",110,253,98,500,34,90,35,28,43
"Under $10,000        ",47,39,2,155,29,143,28,17,**,**,**,**,*       18,*       15,**
"$10,000 under $25,000",39,85,27,624,25,393,21,43,*       27,*         18,*       11,*       31,**,**,**
"$25,000 under $50,000",35,83,32,"1,296",28,908,25,49,30,90,**,**,*       17,*       13,*       16
"$50,000 or more      ",41,120,41,"3,243",39,"2,541",36,144,41,392,23,59,**,**,27
,,,,,,,,,,,,,,,
98539,90,220,86,"3,227",79,"2,798",50,62,57,288,11,30,13,**,14
"Under $10,000        ",14,16,4,62,**,**,**,**,--,--,--,--,**,--,--
"$10,000 under $25,000",26,67,31,446,*       30,*        371,*       15,*       30,10,12,*       11,*       30,*       13,--,**
"$25,000 under $50,000",27,70,27,"1,043",26,934,19,27,24,75,**,**,**,**,*       14
"$50,000 or more      ",23,67,24,"1,676",23,"1,493",16,5,23,201,**,**,**,**,**
,,,,,,,,,,,,,,,
98540,265,511,132,"12,258",219,"9,738",159,179,207,"1,375",85,139,38,**,111
"Under $10,000        ",47,49,9,220,29,186,19,74,14,2,--,--,**,**,**
"$10,000 under $25,000",54,101,31,989,40,688,22,16,31,33,**,**,*       17,--,*       14
"$25,000 under $50,000",56,90,19,"2,036",50,"1,744",31,30,55,180,*       21,*       27,**,**,20
"$50,000 or more      ",108,271,73,"9,013",100,"7,120",87,59,107,"1,160",64,112,21,**,77
,,,,,,,,,,,,,,,
98541,"3,510","7,402","2,506","121,215","2,957","96,494","1,641","2,534","2,537","11,649",643,"1,106",463,89,878
"Under $10,000        ",759,845,204,"1,575",583,"2,884",224,230,194,30,**,**,92,11,35
"$10,000 under $25,000",858,"1,619",527,"14,302",655,"10,012",324,504,560,453,*       63,*       82,95,12,91
"$25,000 under $50,000","1,029","2,363",821,"37,583",908,"30,629",469,709,925,"2,583",210,293,122,29,294
"$50,000 or more      ",864,"2,575",954,"67,755",811,"52,969",624,"1,091",858,"8,583",370,731,154,37,458
,,,,,,,,,,,,,,,
98542,206,428,136,"5,759",156,"4,379",85,201,137,453,35,140,28,18,50
"Under $10,000        ",48,54,11,-77,29,138,15,25,**,**,**,**,*       15,**,**
"$10,000 under $25,000",62,121,30,"1,090",43,712,25,71,*       50,*         35,*       17,*       38,**,*       18,*       13
"$25,000 under $50,000",58,146,58,"2,050",51,"1,682",21,54,49,122,**,**,*       13,**,16
"$50,000 or more      ",38,107,37,"2,696",33,"1,847",24,51,38,296,18,102,**,**,21
,,,,,,,,,,,,,,,
98544,69,162,58,"2,925",61,"2,372",35,49,52,313,14,59,10,**,18
"Under $10,000        ",**,**,**,**,**,**,**,**,--,--,--,--,*       10,--,--
"$10,000 under $25,000",*       27,*       47,*       16,*        431,*       23,*        340,*       18,*       17,17,16,**,**,**,--,**
"$25,000 under $50,000",23,62,25,789,21,686,**,**,16,42,*       14,*       59,**,**,*       18
"$50,000 or more      ",19,53,17,"1,705",17,"1,346",17,32,19,255,**,**,**,**,**
,,,,,,,,,,,,,,,
98546,"1,029","1,953",403,"46,993",683,"25,435",684,"1,836",806,"5,608",340,691,153,**,407
"Under $10,000        ",164,190,32,210,99,511,82,124,43,9,17,17,26,--,25
"$10,000 under $25,000",240,393,64,"4,135",135,"1,938",149,271,162,135,49,63,34,**,65
"$25,000 under $50,000",289,584,141,"10,402",194,"6,008",186,495,265,711,92,147,36,**,115
"$50,000 or more      ",336,786,166,"32,246",255,"16,978",267,946,336,"4,753",182,464,57,**,202
,,,,,,,,,,,,,,,
98547,543,988,208,"15,101",348,"8,481",348,815,347,"1,396",79,181,123,47,112
"Under $10,000        ",145,197,39,147,85,483,70,123,16,2,**,**,34,11,14
"$10,000 under $25,000",166,285,57,"2,665",94,"1,308",102,231,109,75,*       25,*       30,29,13,23
"$25,000 under $50,000",144,302,66,"5,216",106,"3,203",100,198,135,369,31,78,36,*       23,43
"$50,000 or more      ",88,204,46,"7,073",63,"3,487",76,263,87,950,23,73,24,**,32
,,,,,,,,,,,,,,,
98548,921,"1,643",265,"30,254",587,"16,046",564,"1,171",670,"2,941",211,397,126,**,253
"Under $10,000        ",182,226,33,437,112,592,67,84,23,3,**,**,26,--,16
"$10,000 under $25,000",290,513,94,"4,973",156,"2,071",163,307,208,148,*       42,*       57,30,--,48
"$25,000 under $50,000",247,471,76,"8,979",164,"4,870",166,338,239,694,72,90,38,--,89
"$50,000 or more      ",202,433,62,"15,865",155,"8,513",168,442,200,"2,096",97,250,32,**,100
,,,,,,,,,,,,,,,
98550,"4,357","8,766","2,941","196,291","3,624","108,805","1,876","3,856","3,092","34,853",529,"1,414",494,38,716
"Under $10,000        ",982,"1,169",313,"3,862",748,"3,777",264,363,234,57,13,15,100,**,36
"$10,000 under $25,000","1,275","2,313",749,"21,743",997,"15,463",437,894,868,727,60,104,128,*       24,83
"$25,000 under $50,000","1,222","2,817","1,031","44,265","1,091","36,851",547,846,"1,117","3,049",164,269,140,**,242
"$50,000 or more      ",878,"2,467",848,"126,421",788,"52,714",628,"1,753",873,"31,020",292,"1,026",126,14,355
,,,,,,,,,,,,,,,
98552,153,341,126,"4,390",138,"3,941",57,44,99,418,**,**,27,**,12
"Under $10,000        ",39,62,23,124,33,209,**,**,**,**,--,--,**,--,**
"$10,000 under $25,000",49,94,30,789,41,614,*       21,*       30,*       41,*         29,**,**,*       17,**,*       12
"$25,000 under $50,000",40,115,50,"1,458",40,"1,303",21,6,33,86,**,**,*       10,**,**
"$50,000 or more      ",25,70,23,"2,019",24,"1,815",15,8,25,303,**,**,**,**,**
,,,,,,,,,,,,,,,
98554,78,164,52,"2,837",60,"1,962",45,61,61,220,12,51,11,11,16
"Under $10,000        ",13,17,2,71,*       16,*        159,*       14,*       18,*       13,*          7,--,--,*       11,*       11,**
"$10,000 under $25,000",14,28,11,247,**,**,**,**,**,**,--,--,**,**,**
"$25,000 under $50,000",31,55,9,"1,115",26,813,17,15,28,89,*       12,*       51,**,**,*       16
"$50,000 or more      ",20,64,30,"1,404",18,990,14,28,20,124,**,**,**,**,**
,,,,,,,,,,,,,,,
98555,234,421,70,"9,216",121,"3,472",161,670,177,"1,095",58,154,40,**,65
"Under $10,000        ",42,49,6,168,19,58,22,32,**,**,**,**,**,--,**
"$10,000 under $25,000",72,122,19,"1,228",33,423,44,97,*       59,*         44,*       18,*       22,*       26,--,*       20
"$25,000 under $50,000",65,127,27,"2,441",34,"1,005",48,177,63,200,11,14,**,**,14
"$50,000 or more      ",55,123,18,"5,379",35,"1,986",47,364,55,851,29,118,14,**,31
,,,,,,,,,,,,,,,
98556,243,478,125,"10,823",203,"8,196",135,221,201,"1,131",79,124,40,**,94
"Under $10,000        ",26,31,4,145,19,124,**,**,**,**,**,**,*       12,--,**
"$10,000 under $25,000",55,80,17,968,38,601,*       28,*       68,*       45,*         44,**,**,**,--,**
"$25,000 under $50,000",73,157,54,"2,692",64,"2,110",37,23,67,195,*       30,*       30,12,--,*       36
"$50,000 or more      ",89,210,50,"7,018",82,"5,361",70,130,89,892,49,94,16,**,58
,,,,,,,,,,,,,,,
98557,"1,178","2,464",796,"43,302","1,009","36,214",569,571,915,"3,916",258,486,162,21,312
"Under $10,000        ",188,208,46,988,149,811,51,47,49,8,**,**,28,**,**
"$10,000 under $25,000",308,546,149,"5,302",231,"3,707",127,154,213,178,*       34,*       68,31,**,*       44
"$25,000 under $50,000",367,793,267,"13,359",330,"11,333",168,130,342,955,69,75,46,**,88
"$50,000 or more      ",315,917,334,"23,653",299,"20,363",223,240,311,"2,775",155,343,57,*       21,180
,,,,,,,,,,,,,,,
98558,736,"1,566",498,"32,568",634,"24,515",325,384,576,"3,516",219,380,104,15,287
"Under $10,000        ",115,121,27,361,90,515,23,23,29,6,**,**,22,**,10
"$10,000 under $25,000",168,279,75,"2,887",133,"2,102",44,51,117,109,*       23,*       25,15,**,29
"$25,000 under $50,000",213,490,166,"7,917",188,"6,522",88,100,192,535,57,94,29,*       15,86
"$50,000 or more      ",240,676,230,"21,403",223,"15,376",170,210,238,"2,866",139,261,38,**,162
,,,,,,,,,,,,,,,
98559,54,117,43,"1,383",47,"1,092",13,12,33,91,**,**,**,**,**
"Under $10,000        ",12,22,8,58,12,47,**,**,--,--,--,--,**,--,--
"$10,000 under $25,000",21,44,17,350,17,260,*       13,*       12,13,10,--,--,**,**,**
"$25,000 under $50,000",*       21,*       51,*       18,*        975,*       18,*        785,**,**,*       20,*         81,**,**,**,**,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,**,--,**
,,,,,,,,,,,,,,,
98560,116,243,74,"3,817",101,"3,288",45,56,86,304,21,33,16,**,28
"Under $10,000        ",14,14,2,83,**,**,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",43,85,25,741,*       44,*        551,*       20,*       33,*       30,*         25,**,**,*       16,**,**
"$25,000 under $50,000",32,61,15,"1,125",31,981,13,22,30,77,*       21,*       33,**,**,*       16
"$50,000 or more      ",27,83,32,"1,868",26,"1,756",12,1,26,202,**,**,**,**,12
,,,,,,,,,,,,,,,
98561,95,189,58,"3,521",79,"2,934",55,96,73,340,14,26,10,**,18
"Under $10,000        ",25,17,4,118,*       28,*        224,*       18,*       26,**,**,--,--,*       10,--,--
"$10,000 under $25,000",15,24,2,253,**,**,**,**,*       20,*         11,--,--,**,**,--
"$25,000 under $50,000",24,53,18,863,22,695,12,33,22,68,**,**,**,**,**
"$50,000 or more      ",31,95,34,"2,287",29,"2,015",25,37,31,261,*       14,*       26,**,**,*       18
,,,,,,,,,,,,,,,
98562,92,164,48,"2,227",74,"1,608",33,48,62,168,11,22,**,**,11
"Under $10,000        ",26,35,11,117,20,119,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",31,48,14,516,25,380,*       14,*       33,*       30,*         18,*       11,*       22,**,--,*       11
"$25,000 under $50,000",24,56,18,833,*       29,"*      1,109",*       19,*       15,21,57,**,**,**,--,**
"$50,000 or more      ",11,25,5,761,**,**,**,**,11,93,**,**,**,**,**
,,,,,,,,,,,,,,,
98563,"3,192","6,445","1,920","132,066","2,626","101,033","1,841","3,390","2,514","14,795",701,"1,480",396,86,931
"Under $10,000        ",587,543,124,"2,036",446,"2,391",230,191,167,31,11,11,63,14,24
"$10,000 under $25,000",716,"1,153",251,"12,002",501,"7,762",339,610,516,429,53,94,73,10,85
"$25,000 under $50,000",891,"1,866",532,"32,885",755,"25,529",498,917,837,"2,380",182,281,111,28,257
"$50,000 or more      ",998,"2,883","1,013","85,143",924,"65,351",774,"1,672",994,"11,955",455,"1,094",149,34,565
,,,,,,,,,,,,,,,
98564,835,"1,805",574,"28,153",646,"19,793",427,"1,004",572,"2,456",163,418,128,63,207
"Under $10,000        ",176,238,64,627,131,689,67,83,32,11,**,**,24,11,**
"$10,000 under $25,000",238,449,130,"3,929",172,"2,564",97,106,142,113,*       29,*       61,35,12,*       44
"$25,000 under $50,000",223,533,173,"7,998",177,"5,757",116,218,204,507,37,58,30,13,54
"$50,000 or more      ",198,585,207,"15,599",166,"10,783",147,597,194,"1,825",97,299,39,27,109
,,,,,,,,,,,,,,,
98565,639,"1,378",493,"21,758",559,"18,436",266,398,467,"1,815",110,213,79,11,149
"Under $10,000        ",117,148,41,612,92,444,37,45,27,3,*       10,*       18,20,*       11,**
"$10,000 under $25,000",159,270,78,"2,658",135,"2,180",48,78,106,92,**,**,14,**,*       22
"$25,000 under $50,000",208,496,203,"7,499",187,"6,379",81,91,181,519,34,39,17,**,50
"$50,000 or more      ",155,464,171,"10,989",145,"9,433",100,184,153,"1,201",66,156,28,**,77
,,,,,,,,,,,,,,,
98566,71,125,28,"2,335",64,"1,753",27,72,52,249,**,**,**,**,**
"Under $10,000        ",17,19,5,53,16,62,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",15,26,8,232,13,150,**,**,*       14,*          7,--,--,--,--,--
"$25,000 under $50,000",28,55,11,"1,013",24,842,*       27,*       72,27,75,**,**,**,**,**
"$50,000 or more      ",11,25,4,"1,037",11,699,**,**,11,167,**,**,--,--,**
,,,,,,,,,,,,,,,
98568,902,"1,846",601,"26,904",770,"22,180",353,570,613,"2,454",123,311,106,65,162
"Under $10,000        ",209,286,85,58,164,943,59,53,45,10,**,**,28,13,14
"$10,000 under $25,000",270,495,157,"4,737",221,"3,564",80,131,182,161,*       17,*       32,24,17,16
"$25,000 under $50,000",262,622,220,"9,516",235,"7,956",101,139,226,636,40,78,24,11,55
"$50,000 or more      ",161,443,139,"12,593",150,"9,717",113,247,160,"1,647",66,201,30,24,77
,,,,,,,,,,,,,,,
98569,"2,130","3,848",762,"73,018","1,415","39,703","1,241","3,571","1,539","7,234",553,"1,194",336,**,686
"Under $10,000        ",439,504,80,"1,297",298,"1,694",162,211,91,19,29,24,73,--,54
"$10,000 under $25,000",633,"1,078",219,"10,703",403,"6,003",314,566,437,321,86,127,83,--,121
"$25,000 under $50,000",560,"1,106",220,"19,884",356,"10,058",365,827,516,"1,373",169,309,90,--,202
"$50,000 or more      ",498,"1,160",243,"41,134",358,"21,948",400,"1,967",495,"5,521",269,734,90,**,309
,,,,,,,,,,,,,,,
98570,"1,441","3,104","1,015","48,982","1,197","36,439",706,"1,287","1,001","4,537",269,567,213,108,377
"Under $10,000        ",297,395,109,698,217,"1,075",96,159,53,8,12,20,50,23,23
"$10,000 under $25,000",407,785,244,"7,014",323,"5,030",162,279,251,230,26,73,52,22,39
"$25,000 under $50,000",400,969,342,"14,517",352,"11,188",210,203,362,897,91,137,66,34,133
"$50,000 or more      ",337,955,320,"26,753",305,"19,146",238,646,335,"3,402",140,337,45,29,182
,,,,,,,,,,,,,,,
98571,139,249,59,"4,149",110,"2,537",67,127,98,429,19,37,18,**,23
"Under $10,000        ",37,58,17,148,27,107,**,**,**,**,**,**,**,--,**
"$10,000 under $25,000",41,73,20,703,34,511,*       21,*       48,*       38,*         24,**,**,*       18,--,*       11
"$25,000 under $50,000",41,70,12,"1,489",30,932,30,54,40,130,**,**,**,--,**
"$50,000 or more      ",20,48,10,"1,809",19,987,16,25,20,275,*       19,*       37,**,**,12
,,,,,,,,,,,,,,,
98572,342,757,269,"11,235",277,"9,179",163,333,242,959,46,79,34,14,59
"Under $10,000        ",60,78,26,191,43,210,15,22,12,2,**,**,**,**,**
"$10,000 under $25,000",112,211,67,"1,863",76,"1,216",49,93,72,58,**,**,*       17,*       14,*       14
"$25,000 under $50,000",85,212,81,"3,112",78,"2,735",34,85,73,221,*       19,*       33,*       17,**,15
"$50,000 or more      ",85,256,95,"6,069",80,"5,018",65,133,85,678,27,46,**,**,30
,,,,,,,,,,,,,,,
98575,91,169,43,"3,791",80,"2,685",47,79,72,432,**,**,18,**,13
"Under $10,000        ",11,14,5,32,**,**,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",33,52,8,544,*       36,*        453,*       23,*       19,*       26,*         18,--,--,*       18,**,**
"$25,000 under $50,000",20,37,10,750,19,710,**,**,19,65,**,**,**,--,**
"$50,000 or more      ",27,66,20,"2,465",25,"1,522",24,60,27,349,**,**,**,--,*       13
,,,,,,,,,,,,,,,
98576,"1,764","3,797","1,254","67,855","1,517","55,392",826,756,"1,346","6,283",459,770,320,76,622
"Under $10,000        ",309,355,97,"1,056",230,"1,318",87,59,76,11,**,**,59,11,18
"$10,000 under $25,000",409,754,237,"7,036",325,"5,275",133,164,275,229,*       45,*       59,63,12,65
"$25,000 under $50,000",515,"1,211",432,"19,222",464,"15,955",252,218,468,"1,259",142,236,93,19,197
"$50,000 or more      ",531,"1,477",488,"40,541",498,"32,844",354,315,527,"4,784",272,475,105,34,342
,,,,,,,,,,,,,,,
98577,"2,345","4,884","1,569","79,881","1,865","61,432","1,239","2,075","1,668","7,301",382,811,303,129,492
"Under $10,000        ",509,529,115,"1,855",367,"1,587",185,160,116,16,**,**,68,12,22
"$10,000 under $25,000",654,"1,237",368,"11,182",458,"6,975",282,511,430,364,*       51,*      102,64,17,58
"$25,000 under $50,000",604,"1,401",463,"22,509",510,"17,351",333,459,546,"1,575",104,163,72,34,138
"$50,000 or more      ",578,"1,717",623,"44,335",530,"35,519",439,945,576,"5,346",227,546,99,66,274
,,,,,,,,,,,,,,,
98579,"4,460","9,599","3,168","171,113","3,836","139,337","2,122","2,878","3,419","15,991","1,176","2,124",590,130,"1,581"
"Under $10,000        ",753,901,260,"2,938",589,"3,469",225,206,212,43,16,12,91,17,50
"$10,000 under $25,000","1,037","1,885",571,"17,900",813,"13,051",376,483,681,622,92,115,128,17,135
"$25,000 under $50,000","1,377","3,134","1,081","50,218","1,216","41,097",647,786,"1,243","3,284",368,569,191,34,525
"$50,000 or more      ","1,293","3,679","1,256","100,057","1,218","81,720",874,"1,403","1,283","12,042",700,"1,428",180,62,871
,,,,,,,,,,,,,,,
98580,"3,389","7,452","2,499","144,858","2,951","118,486","1,486","1,991","2,607","14,495","1,113","2,241",425,131,"1,390"
"Under $10,000        ",539,569,139,"1,374",424,"2,429",145,115,122,25,**,**,63,12,21
"$10,000 under $25,000",729,"1,286",375,"12,615",568,"9,173",219,280,482,445,*       77,*      115,68,20,108
"$25,000 under $50,000",946,"2,262",839,"34,929",855,"29,507",361,396,836,"2,221",282,352,122,39,373
"$50,000 or more      ","1,175","3,335","1,146","95,940","1,104","77,377",761,"1,200","1,167","11,804",754,"1,774",172,60,888
,,,,,,,,,,,,,,,
98581,168,282,5,"4,768",54,"1,355",145,543,117,425,28,87,10,**,36
"Under $10,000        ",29,41,2,142,**,**,20,48,**,**,--,--,*       10,--,**
"$10,000 under $25,000",73,124,3,"1,258",*       24,*        191,67,137,*       52,*         35,**,**,**,**,*       15
"$25,000 under $50,000",42,74,0,"1,493",16,392,36,98,41,108,*       28,*       87,**,--,*       21
"$50,000 or more      ",24,43,0,"1,875",14,772,22,260,24,282,**,**,**,**,**
,,,,,,,,,,,,,,,
98582,263,520,137,"11,525",192,"5,035",139,381,175,"1,379",49,420,38,**,76
"Under $10,000        ",56,76,15,162,40,212,20,13,13,1,**,**,**,**,**
"$10,000 under $25,000",91,180,51,"1,524",61,920,42,96,51,36,**,**,*       18,--,*       24
"$25,000 under $50,000",69,140,34,"2,639",53,"1,620",40,99,64,198,*       29,*       42,*       20,**,27
"$50,000 or more      ",47,124,37,"7,200",38,"2,283",37,173,47,"1,144",20,378,**,**,25
,,,,,,,,,,,,,,,
98583,152,311,97,"4,934",129,"3,632",70,134,112,452,17,25,18,**,26
"Under $10,000        ",30,32,7,103,25,115,**,**,**,**,--,--,**,**,--
"$10,000 under $25,000",40,67,16,636,30,384,*       23,*       26,*       35,*         26,**,**,**,**,*       10
"$25,000 under $50,000",47,124,49,"1,721",44,"1,540",21,24,42,107,**,**,*       18,**,**
"$50,000 or more      ",35,88,25,"2,474",30,"1,593",26,84,35,319,*       17,*       25,**,**,16
,,,,,,,,,,,,,,,
98584,"12,655","25,637","7,779","483,755","10,197","340,800","6,443","12,366","9,467","49,582","3,119","6,758","1,611",149,"3,849"
"Under $10,000        ","2,264","2,638",726,"8,709","1,749","9,128",675,685,521,121,57,70,265,13,122
"$10,000 under $25,000","3,385","6,051","1,803","57,840","2,458","38,543","1,326","2,404","2,278","1,925",340,543,316,22,463
"$25,000 under $50,000","3,610","7,858","2,472","131,425","3,038","100,266","1,879","2,935","3,288","9,155",933,"1,405",452,28,"1,208"
"$50,000 or more      ","3,396","9,090","2,778","285,781","2,952","192,863","2,563","6,342","3,380","38,381","1,789","4,740",578,86,"2,056"
,,,,,,,,,,,,,,,
98585,290,595,168,"9,905",215,"6,267",152,320,198,960,56,97,50,29,74
"Under $10,000        ",72,81,12,130,47,229,23,54,13,2,*       11,*        9,13,**,**
"$10,000 under $25,000",68,134,41,"1,192",49,718,28,63,47,42,**,**,11,**,*       17
"$25,000 under $50,000",83,200,61,"2,967",63,"1,884",49,57,72,187,12,29,15,*       18,17
"$50,000 or more      ",67,180,54,"5,616",56,"3,436",52,146,66,729,33,59,11,11,40
,,,,,,,,,,,,,,,
98586,881,"1,804",584,"28,754",684,"20,043",425,735,583,"2,897",117,279,134,28,154
"Under $10,000        ",201,228,58,589,135,586,73,124,39,5,**,**,32,**,11
"$10,000 under $25,000",274,567,201,"4,652",205,"3,071",96,176,153,133,*       24,*       35,43,*       16,26
"$25,000 under $50,000",223,483,136,"8,173",182,"6,019",126,252,208,600,29,64,30,**,39
"$50,000 or more      ",183,526,189,"15,340",162,"10,367",130,183,183,"2,159",64,180,29,12,78
,,,,,,,,,,,,,,,
98587,353,770,351,"8,775",338,"8,349",40,14,196,570,**,**,**,**,**
"Under $10,000        ",96,150,62,469,87,531,*       10,*        2,12,2,--,--,**,--,--
"$10,000 under $25,000",115,238,114,"2,003",111,"1,847",**,**,59,58,--,--,**,--,--
"$25,000 under $50,000",100,233,105,"3,347",98,"3,137",13,8,84,197,**,**,**,--,**
"$50,000 or more      ",42,149,70,"2,956",42,"2,834",17,4,41,313,**,**,**,**,**
,,,,,,,,,,,,,,,
98588,579,"1,128",284,"21,627",428,"14,428",322,702,420,"2,155",142,208,83,**,180
"Under $10,000        ",107,132,43,525,81,411,33,24,20,5,**,**,18,--,10
"$10,000 under $25,000",160,289,63,"2,746",97,"1,441",87,203,102,97,*       25,*       36,23,**,36
"$25,000 under $50,000",152,322,84,"5,594",120,"3,787",84,130,138,399,40,57,15,**,48
"$50,000 or more      ",160,385,94,"12,762",130,"8,789",118,345,160,"1,654",77,115,27,**,86
,,,,,,,,,,,,,,,
98589,"2,937","6,099","1,922","119,704","2,532","95,471","1,469","2,293","2,321","12,177",780,"1,325",406,98,"1,045"
"Under $10,000        ",478,469,110,"1,826",395,"2,076",126,80,135,28,10,14,49,12,23
"$10,000 under $25,000",662,"1,167",325,"11,630",504,"8,228",243,384,469,418,57,82,79,14,89
"$25,000 under $50,000",879,"1,870",609,"31,819",766,"25,364",439,530,804,"2,248",217,292,125,22,315
"$50,000 or more      ",918,"2,593",878,"74,429",867,"59,803",661,"1,299",913,"9,483",496,937,153,50,618
,,,,,,,,,,,,,,,
98590,164,312,77,"4,352",107,"2,534",97,217,108,434,24,29,41,**,33
"Under $10,000        ",42,59,15,-166,26,137,18,15,**,**,--,--,**,**,*       10
"$10,000 under $25,000",54,84,9,891,28,354,33,66,*       45,*         33,*       13,*       14,*       19,**,**
"$25,000 under $50,000",39,94,32,"1,337",31,888,22,110,34,85,**,**,12,**,10
"$50,000 or more      ",29,75,21,"2,290",22,"1,155",24,26,29,316,11,15,10,**,13
,,,,,,,,,,,,,,,
98591,"1,368","2,941",986,"49,085","1,111","36,908",721,"1,440",967,"5,086",268,533,187,76,378
"Under $10,000        ",310,362,87,604,218,"1,126",125,160,75,29,**,**,49,16,23
"$10,000 under $25,000",350,680,221,"5,993",255,"3,829",154,365,227,182,*       25,*       37,36,15,39
"$25,000 under $50,000",363,901,320,"13,422",319,"10,704",182,270,323,840,69,94,47,22,105
"$50,000 or more      ",345,998,358,"29,066",319,"21,249",260,645,342,"4,035",174,402,55,23,211
,,,,,,,,,,,,,,,
98592,718,"1,289",207,"29,394",453,"15,431",480,"1,606",548,"3,334",245,546,115,**,292
"Under $10,000        ",130,154,17,-153,74,606,67,205,25,7,11,16,25,--,26
"$10,000 under $25,000",179,274,34,"3,066",99,"1,442",99,276,129,111,33,44,14,--,41
"$25,000 under $50,000",187,365,74,"6,909",123,"3,679",130,387,173,500,66,120,25,--,78
"$50,000 or more      ",222,496,82,"19,572",157,"9,704",184,738,221,"2,716",135,366,51,**,147
,,,,,,,,,,,,,,,
98593,373,869,297,"11,718",307,"9,327",175,199,256,880,76,97,55,13,96
"Under $10,000        ",67,108,32,334,43,242,25,37,14,2,**,**,11,**,**
"$10,000 under $25,000",109,228,75,"1,802",86,"1,294",44,48,63,45,*       12,*        8,17,**,*       13
"$25,000 under $50,000",123,332,127,"4,484",111,"3,674",58,61,105,259,30,36,14,*       13,40
"$50,000 or more      ",74,201,63,"5,098",67,"4,117",48,53,74,574,34,53,13,**,43
,,,,,,,,,,,,,,,
98595,"1,411","2,589",690,"45,948","1,052","28,111",706,"1,754",957,"5,681",198,420,295,11,270
"Under $10,000        ",368,455,107,797,251,"1,228",141,208,67,10,10,7,73,**,25
"$10,000 under $25,000",443,763,194,"7,408",313,"4,705",178,343,319,263,22,39,83,*       11,34
"$25,000 under $50,000",346,738,213,"12,294",276,"8,285",194,472,319,862,66,97,75,**,86
"$50,000 or more      ",254,633,176,"25,449",212,"13,893",193,731,252,"4,546",100,277,64,**,125
,,,,,,,,,,,,,,,
98596,"2,482","5,383","1,794","81,486","2,040","62,811","1,284","2,216","1,722","6,873",480,988,341,156,681
"Under $10,000        ",529,588,119,"1,633",386,"2,036",185,223,124,19,16,15,74,20,37
"$10,000 under $25,000",699,"1,347",405,"11,864",534,"8,143",291,420,434,350,64,139,88,32,98
"$25,000 under $50,000",681,"1,773",675,"25,183",600,"20,150",373,546,598,"1,507",149,263,99,47,221
"$50,000 or more      ",573,"1,675",595,"42,806",520,"32,482",435,"1,027",566,"4,997",251,571,80,57,325
,,,,,,,,,,,,,,,
98597,"6,527","14,274","4,922","246,220","5,626","199,672","2,732","3,553","4,837","22,439","1,689","2,987",867,124,"2,285"
"Under $10,000        ","1,122","1,270",327,"3,626",839,"4,484",297,386,266,63,28,26,184,15,73
"$10,000 under $25,000","1,592","2,921",916,"27,380","1,263","20,153",483,559,"1,035",882,135,173,176,14,214
"$25,000 under $50,000","1,936","4,751","1,795","70,818","1,757","58,908",780,756,"1,674","4,299",507,667,253,32,733
