zipcode,adjusted_gross_income_size,returns,joint_returns,paid_preparer_number_of_returns,number_of_exemptions_total,dependent_number_of_returns,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,ordinary_dividends_number_of_returns,ordinary_dividends_amounts,qualified_dividends_number_of_returns,qualified_dividends_amounts,business_net_income_number_of_returns,business_net_income_amount,farm_number_of_returns,net_capital_gain_in_agi_number_of_returns,net_capital_gain_in_agi_amount,taxable_individual_retirement_arrangement_distributions_number_of_returns,taxable_individual_retirement_arrangement_distributions_amount,pensions_and_annuities_in_agi_number_of_returns,pensions_and_annuities_in_agi_amount,unemployment_compensation_in_agi_number_of_returns,unemployment_compensation_in_agi_amount,social_security_benefits_in_agi_number_of_returns,social_security_benefits_in_agi_amount,self_employment_retirement_plans_number_of_returns,self_employment_retirement_plans_amount,total_itemized_deductions_number_of_returns,total_itemized_deductions_amount,state_and_local_income_taxes_number_of_returns,state_and_local_income_taxes_amount,state_and_local_general_sales_taxes_number_of_returns,state_and_local_general_sales_taxes_amount,real_estate_taxes_number_of_returns,real_estate_taxes_amount,taxes_paid_number_of_returns,taxes_paid_amount,mortgage_interest_paid_number_of_returns,mortgage_interest_paid_amount,contributions_number_of_returns,contributions_amount,taxable_income_number_of_returns,taxable_income_amount,total_tax_credits_number_of_returns,total_tax_credits_amount,residential_energy_credit_number_of_returns,residential_energy_credit_amount,child_tax_credit_number_of_returns,child_tax_credit_amount,child_and_dependent_care_credit_number_of_returns,child_and_dependent_care_credit_amount,additional_child_tax_credit_number_of_returns,additional_child_tax_credit_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,earned_income_credit_refundable_number_of_returns,earned_income_credit_refundable_amount,alternative_minimum_tax_number_of_returns,alternative_minimum_tax_amount,income_tax_number_of_returns,income_tax_amount,total_tax_liability_number_of_returns,total_tax_liability_amount,tax_due_at_time_of_filing_number_of_returns,tax_due_at_time_of_filing_amount,overpayments_refunded_number_of_returns,overpayments_refunded_amount
98606,"$50,000 under $75,000",577,447,319,1680,647,36133,471,26037,366,689,171,415,143,249,136,1318,21,121,31,66,954,159,4163,74,691,135,1934,**,**,358,7849,81,243,188,270,338,1465,355,2139,303,3469,289,819,567,19782,309,487,46,47,204,338,35,17,78,162,0,0,0,0,0,0,492,2135,522,2444,101,231,447,1607
98606,"$75,000 under $100,000",469,413,261,1403,516,40797,412,29984,313,425,158,469,137,237,93,946,20,117,150,57,1234,135,4417,59,627,104,1761,**,**,359,8682,93,395,193,333,342,1597,357,2531,328,4236,297,900,467,25676,266,491,56,61,163,309,**,**,28,70,0,0,0,0,**,**,446,3093,451,3314,102,226,351,1306
98606,"$100,000 under $200,000",725,675,384,2330,925,96370,661,77087,563,1536,322,1416,297,1014,137,3379,34,246,949,82,3065,160,5706,50,444,92,1747,33,492,642,19266,192,1381,303,772,631,3419,642,6133,599,9361,593,2117,723,67632,404,654,80,81,211,337,48,18,**,**,0,0,0,0,27,49,713,10909,716,11572,210,932,482,2452
98606,"$200,000 or more",196,182,141,666,288,70264,178,43221,178,1681,124,2914,112,2389,38,2498,**,105,3099,**,**,42,2789,**,**,25,492,**,**,183,8841,55,1046,89,342,180,1477,183,3147,156,3546,170,1732,196,59194,76,514,21,35,0,0,**,**,0,0,0,0,0,0,113,454,195,14870,196,15246,94,1904,79,1600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98607,,"11,552","6,431","5,496","27,187","9,811","957,964","9,697","702,600","6,071","20,384","3,484","20,256","3,005","15,700","1,986","38,938",79,"2,798","28,654","1,015","20,649","2,262","50,618","1,191","11,282","1,336","17,041",127,"2,086","6,249","177,832","1,851","14,154","3,080","6,013","5,928","30,032","6,207","55,893","5,559","81,325","5,228","21,760","9,536","654,970","4,736","6,777",508,446,"2,674","3,896",572,275,"1,027","1,394","1,192","2,497","1,014","2,047",523,"2,172","8,726","121,303","9,302","128,046","2,306","11,955","8,572","31,609"
98607,"$1 under $25,000",3242,526,1229,4211,1103,37339,2374,26277,969,1451,529,901,438,483,414,2643,28,374,-355,200,1224,472,4035,315,2588,139,275,**,**,424,8121,46,123,262,199,337,1362,402,1758,281,3202,261,451,1433,8234,367,135,**,**,92,34,**,**,457,530,814,1825,718,1551,**,**,1185,742,1529,1320,357,205,2525,4358
98607,"$25,000 under $50,000",2083,839,1001,4306,1375,77108,1663,55306,859,1828,443,1308,365,684,324,3612,**,332,34,213,2311,498,8451,304,2929,387,2576,22,175,786,15720,164,356,445,537,724,2840,773,3929,642,6829,544,1253,1921,36618,837,718,73,51,469,450,80,36,364,567,378,672,296,496,0,0,1569,3808,1730,4624,343,593,1674,4762
98607,"$50,000 under $75,000",1724,1089,887,4426,1596,107080,1496,82498,953,1620,491,1502,418,909,300,3233,21,352,39,200,2888,401,9145,202,1893,294,4158,**,**,1111,23964,312,1040,596,852,1037,4231,1108,6553,981,11484,890,2133,1689,61072,908,1371,95,75,629,1000,83,36,158,227,0,0,0,0,**,**,1535,7010,1589,7832,335,752,1343,4784
98607,"$75,000 under $100,000",1454,1215,705,4398,1717,126611,1335,104002,939,1375,496,1184,418,739,297,2037,**,378,771,149,2993,322,8868,144,1484,207,3687,**,**,1155,28155,390,1646,519,923,1114,4956,1152,8196,1078,14272,999,2737,1445,79114,948,1791,123,116,708,1277,112,52,48,70,0,0,0,0,**,**,1400,9454,1412,10078,287,695,1137,4564
98607,"$100,000 under $200,000",2327,2105,1191,7500,3053,313911,2182,258494,1712,4271,1058,3341,936,2292,480,9993,30,911,2835,208,7348,455,15378,189,1968,235,4680,53,685,2086,62723,737,4841,928,2190,2050,10981,2085,19826,1966,31350,1897,6785,2326,220991,1378,2085,174,151,776,1135,229,116,**,**,0,0,0,0,104,213,2316,36384,2321,38349,680,2950,1569,8259
98607,"$200,000 or more",722,657,483,2346,967,295915,647,176023,639,9839,467,12020,430,10593,171,17420,**,451,25330,45,3885,114,4741,37,420,74,1665,52,1226,687,39149,202,6148,330,1312,666,5662,687,15631,611,14188,637,8401,722,248941,298,677,43,53,0,0,68,35,0,0,0,0,0,0,419,1959,721,63905,721,65843,304,6760,324,4882
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98610,,"1,184",539,642,"2,461",757,"51,579",990,"37,890",401,847,142,496,118,335,124,"1,519",0,119,"1,705",74,837,229,"4,993",229,"1,544",136,"1,401",0,0,325,"6,025",86,358,173,206,285,553,322,"1,277",266,"2,774",204,422,914,"30,957",363,432,41,39,221,292,31,13,150,205,228,468,209,432,0,0,816,"4,100",855,"4,388",183,554,950,"2,593"
98610,"$1 under $25,000",490,90,225,731,195,6233,385,4356,111,123,29,85,28,51,41,221,0,27,-35,40,201,74,824,72,494,**,**,0,0,30,441,**,**,22,15,28,40,30,60,26,205,**,**,235,1466,48,22,0,0,**,**,**,**,84,91,164,343,152,322,0,0,200,134,231,191,46,23,407,782
98610,"$25,000 under $50,000",294,125,172,648,217,10827,247,7977,91,133,36,97,31,67,25,176,0,30,-57,**,**,70,1448,82,570,67,310,0,0,77,1256,**,**,45,40,65,90,77,177,58,528,59,114,280,5347,122,111,**,**,92,85,31,13,66,114,64,125,57,110,0,0,227,552,235,589,42,55,246,745
98610,"$50,000 under $75,000",202,146,122,519,165,12310,181,10055,84,153,50,170,35,114,20,162,0,34,112,34,636,35,1055,51,310,38,494,0,0,93,1568,64,193,44,46,80,114,92,286,74,761,59,94,202,7619,88,134,41,39,66,104,**,**,**,**,0,0,0,0,0,0,193,909,193,936,34,70,165,449
98610,"$75,000 under $100,000",109,98,59,322,112,9415,103,7662,53,67,**,**,**,**,38,960,0,**,**,**,**,28,798,24,170,31,597,0,0,64,1332,**,**,40,61,57,135,62,285,59,686,45,86,108,6368,61,113,**,**,63,103,**,**,0,0,0,0,0,0,0,0,107,779,107,841,21,94,86,270
98610,"$100,000 under $200,000",89,80,64,241,68,12794,74,7840,62,371,27,144,24,103,**,**,0,28,1685,**,**,22,868,**,**,**,**,0,0,61,1428,22,165,22,44,55,174,61,469,49,594,41,128,89,10157,44,52,**,**,**,**,**,**,0,0,0,0,0,0,0,0,89,1726,89,1831,40,312,46,347
98610,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98611,,"4,039","2,088","1,980","8,470","2,466","191,835","3,209","138,549","2,030","4,346",613,"1,053",508,693,486,"4,193",90,453,"1,730",404,"5,918","1,030","19,561",605,"5,188",679,"7,142",0,0,"1,202","23,733",117,454,875,"1,519","1,133","2,715","1,196","5,125","1,051","11,364",854,"2,474","3,172","117,095","1,306","1,624",201,159,778,"1,051",132,61,391,497,622,"1,164",547,"1,047",23,46,"2,891","15,797","3,040","16,728",621,"1,312","3,189","8,725"
98611,"$1 under $25,000",1459,324,620,2155,523,17900,1006,10753,487,743,163,272,136,151,165,1238,38,121,76,102,706,317,2994,175,1332,92,133,0,0,139,2113,20,33,98,102,125,265,137,401,99,842,78,130,630,3643,139,43,**,**,47,19,**,**,212,237,426,877,392,804,0,0,534,342,645,549,151,110,1145,2119
98611,"$25,000 under $50,000",1010,470,508,2114,618,37324,813,26128,482,845,127,196,103,138,103,608,**,96,-21,122,1157,283,5088,194,1749,259,1593,0,0,237,3900,**,**,180,192,214,408,235,661,196,1764,148,307,975,18461,420,376,53,33,252,252,53,24,141,205,196,287,155,243,**,**,831,1863,855,2030,134,138,858,2379
98611,"$50,000 under $75,000",714,520,400,1794,557,44351,616,32964,419,667,123,174,98,110,95,891,30,93,154,69,1227,204,4739,140,1199,160,2261,0,0,303,5473,36,101,230,350,285,627,303,1159,272,2733,206,497,712,27750,329,505,52,44,228,375,28,12,38,55,0,0,0,0,23,46,678,3288,690,3500,140,289,556,1644
98611,"$75,000 under $100,000",484,423,238,1336,425,41422,435,32328,353,887,101,168,89,122,62,252,**,62,355,64,1302,125,3476,58,468,106,1915,0,0,261,5458,30,117,183,339,250,627,260,1175,236,2689,200,548,483,28444,244,429,49,40,164,286,26,10,**,**,0,0,0,0,**,**,476,3600,478,3690,80,149,391,1390
98611,"$100,000 under $200,000",348,327,194,985,305,43906,317,32917,265,866,99,243,82,172,61,1204,22,81,1166,47,1526,101,3264,38,440,62,1240,0,0,242,5962,31,203,184,536,239,687,241,1521,248,3336,222,992,348,33031,174,271,47,42,87,119,25,15,0,0,0,0,0,0,**,**,348,5339,348,5551,116,626,239,1193
98611,"$200,000 or more",24,24,20,86,38,6932,22,3459,24,338,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,20,827,0,0,**,**,20,101,20,208,**,**,**,**,24,5766,**,**,**,**,0,0,**,**,0,0,0,0,0,0,**,**,24,1365,24,1408,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98612,,"1,206",646,713,"2,384",563,"59,825",814,"34,335",693,"2,145",301,"1,238",261,885,243,929,42,234,"2,100",173,"2,341",448,"10,333",157,"1,159",308,"3,398",0,0,370,"7,960",54,286,247,519,345,842,365,"1,740",289,"3,199",264,822,904,"37,924",331,487,48,48,165,218,29,12,92,102,169,322,152,277,0,0,839,"5,538",902,"5,951",248,920,861,"2,395"
98612,"$1 under $25,000",463,129,240,698,144,5583,266,2744,206,267,80,124,69,64,80,360,**,60,-27,48,300,135,1364,65,471,45,73,0,0,55,1083,**,**,34,24,46,90,52,158,29,248,32,36,180,1119,44,13,**,**,**,**,**,**,57,56,129,238,119,209,0,0,156,107,205,189,61,53,333,572
98612,"$25,000 under $50,000",267,141,147,534,120,9690,175,5481,137,383,60,155,50,87,51,88,**,41,8,35,355,106,2353,41,277,104,654,0,0,74,1481,24,89,51,61,68,137,74,230,56,515,49,142,249,4571,80,58,**,**,55,41,29,12,35,46,40,84,33,68,0,0,216,486,227,535,48,63,212,552
98612,"$50,000 under $75,000",219,151,151,503,132,13485,167,8067,152,469,62,205,55,148,47,218,42,50,27,44,662,94,2461,27,245,76,1111,0,0,87,1574,**,**,59,102,82,189,87,352,73,703,61,151,219,8600,103,151,48,48,58,95,**,**,**,**,0,0,0,0,0,0,213,1018,216,1095,48,103,163,505
98612,"$75,000 under $100,000",134,121,89,329,74,11721,109,7514,101,403,48,102,42,50,31,117,**,30,235,46,1024,61,1844,24,166,46,858,0,0,67,1478,30,197,45,95,66,150,67,308,64,760,50,166,133,8213,50,61,**,**,29,46,**,**,0,0,0,0,0,0,0,0,132,1082,132,1139,44,103,87,333
98612,"$100,000 under $200,000",123,104,86,320,93,19346,97,10529,97,623,51,652,45,536,34,146,**,53,1857,**,**,52,2311,**,**,37,702,0,0,87,2344,**,**,58,237,83,276,85,692,67,973,72,327,123,15421,54,204,**,**,23,36,**,**,0,0,0,0,0,0,0,0,122,2845,122,2993,47,598,66,433
98612,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98613,,162,101,94,351,96,"7,923",122,"5,393",94,322,52,98,47,73,28,180,37,39,157,0,0,46,861,0,0,33,446,0,0,34,639,0,0,22,37,30,59,34,118,26,244,25,69,123,"4,950",52,67,0,0,33,46,0,0,0,0,29,38,22,33,0,0,112,693,121,750,28,61,119,319
98613,"$1 under $25,000",63,**,50,90,**,756,36,441,49,68,27,20,23,12,28,180,**,**,**,0,0,25,312,0,0,**,**,0,0,**,**,0,0,22,37,**,**,**,**,**,**,**,**,26,196,24,17,0,0,**,**,0,0,0,0,29,38,22,33,0,0,21,19,30,34,28,61,43,65
98613,"$25,000 under $50,000",34,43,**,84,42,1284,29,1035,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,26,244,25,69,32,602,**,**,0,0,**,**,0,0,0,0,**,**,**,**,0,0,26,55,26,67,**,**,29,80
98613,"$50,000 under $75,000",45,58,44,127,54,3252,57,3917,45,254,25,78,24,61,**,**,37,39,157,0,0,21,549,0,0,33,446,0,0,34,639,0,0,**,**,30,59,34,118,**,**,**,**,45,2088,28,50,0,0,33,46,0,0,0,0,0,0,0,0,0,0,45,225,45,234,**,**,47,174
98613,"$75,000 under $100,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
98613,"$100,000 under $200,000",20,**,**,50,**,2631,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,20,2064,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,20,394,20,415,**,**,**,**
98613,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98616,,102,58,53,192,33,"5,079",76,"2,843",53,316,22,46,21,24,0,0,0,20,44,0,0,35,816,0,0,26,279,0,0,38,770,0,0,20,32,36,101,38,193,29,317,22,64,79,"3,182",27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,495,77,503,0,0,87,226
98616,"$1 under $25,000",37,26,26,55,**,499,44,881,26,32,**,**,**,**,0,0,0,20,44,0,0,**,**,0,0,0,0,0,0,**,**,0,0,20,32,**,**,**,**,**,**,22,64,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,32,54
98616,"$25,000 under $50,000",25,**,**,45,**,906,**,**,**,**,22,46,21,24,0,0,0,**,**,0,0,35,816,0,0,26,279,0,0,**,**,0,0,**,**,36,101,**,**,29,317,**,**,39,522,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,60,37,60,0,0,24,46
98616,"$50,000 under $75,000",40,32,27,92,33,3674,32,1962,27,284,**,**,**,**,0,0,0,**,**,0,0,**,**,0,0,**,**,0,0,38,770,0,0,**,**,**,**,38,193,**,**,**,**,40,2660,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,435,40,443,0,0,31,126
98616,"$75,000 under $100,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,**,**
98616,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,**,**
98616,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98619,,213,99,120,424,115,"10,055",178,"6,832",99,259,37,44,34,27,38,261,0,33,53,0,0,45,915,46,375,29,282,0,0,36,654,0,0,0,0,29,44,36,108,25,239,27,88,171,"6,537",71,69,0,0,37,44,0,0,21,36,32,77,23,61,0,0,151,"1,094",167,"1,160",45,189,155,423
98619,"$1 under $25,000",83,**,43,131,33,1128,64,824,28,54,**,**,**,**,**,**,0,**,**,0,0,22,337,**,**,**,**,0,0,**,**,0,0,0,0,**,**,**,**,**,**,**,**,45,270,**,**,0,0,**,**,0,0,21,36,32,77,23,61,0,0,34,21,47,37,25,21,61,144
98619,"$25,000 under $50,000",61,46,34,125,36,2262,52,1750,26,89,**,**,34,27,38,261,0,33,53,0,0,**,**,46,375,29,282,0,0,**,**,0,0,0,0,29,44,**,**,25,239,27,88,57,1139,37,22,0,0,37,44,0,0,**,**,**,**,**,**,0,0,50,124,52,156,**,**,46,139
98619,"$50,000 under $75,000",42,29,43,102,46,2543,37,1823,24,80,37,44,**,**,**,**,0,**,**,0,0,23,578,**,**,**,**,0,0,36,654,0,0,0,0,**,**,36,108,**,**,**,**,42,1652,34,47,0,0,**,**,0,0,**,**,0,0,0,0,0,0,40,202,41,207,20,168,48,140
98619,"$75,000 under $100,000",27,24,**,66,**,4122,25,2435,21,36,**,**,**,**,**,**,0,**,**,0,0,**,**,**,**,**,**,0,0,**,**,0,0,0,0,**,**,**,**,**,**,**,**,27,3476,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,27,747,27,760,**,**,**,**
98619,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,0,0,**,**,**,**,**,**,0,0,**,**,0,0,0,0,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**
98619,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,0,0,**,**,**,**,**,**,0,0,**,**,0,0,0,0,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98620,,"2,985","1,527","1,511","6,165","1,686","128,230","2,264","85,208","1,305","3,133",482,"1,697",389,"1,189",447,"3,961",174,368,"2,014",291,"3,583",871,"17,003",338,"2,524",587,"6,002",0,0,709,"13,837",93,454,421,631,623,"1,322",695,"2,744",555,"5,276",515,"1,893","2,187","77,318",777,899,128,113,444,591,54,24,368,487,575,"1,107",485,976,0,0,"1,953","10,730","2,131","11,677",532,"1,400","2,228","5,911"
98620,"$1 under $25,000",1214,333,549,2010,540,14213,829,9133,373,482,116,187,89,85,171,619,37,89,-28,85,599,275,2629,121,829,73,133,0,0,109,1790,26,40,65,42,81,136,99,233,68,542,59,159,453,2356,96,26,**,**,34,11,20,10,219,242,422,844,361,758,0,0,381,219,514,371,116,53,934,1889
98620,"$25,000 under $50,000",803,408,425,1715,476,29193,627,19922,323,690,117,292,89,138,107,940,54,83,429,90,780,233,4403,113,957,225,1268,0,0,169,2807,**,**,108,92,146,256,169,426,127,1003,115,380,769,14337,287,252,43,29,180,176,**,**,124,208,153,263,124,218,0,0,634,1475,668,1712,136,217,645,1754
98620,"$50,000 under $75,000",479,353,249,1166,319,29334,388,20314,263,522,105,240,91,133,73,650,54,85,264,53,637,177,4320,65,447,142,1911,0,0,157,2849,21,65,86,109,138,272,154,523,127,1129,122,364,478,18725,196,305,33,32,126,229,34,14,25,37,0,0,0,0,0,0,455,2209,463,2370,122,263,345,945
98620,"$75,000 under $100,000",258,227,148,683,197,22392,224,15416,175,415,69,244,56,151,54,678,**,51,357,32,685,92,2721,39,291,76,1411,0,0,129,2712,20,91,76,159,118,212,128,537,107,1043,96,455,256,15666,116,190,30,31,69,122,**,**,**,**,0,0,0,0,0,0,252,2013,255,2146,63,174,188,628
98620,"$100,000 under $200,000",210,206,140,536,154,27072,196,20423,151,678,75,734,64,682,42,1074,29,60,992,31,882,94,2930,**,**,71,1279,0,0,145,3679,26,258,86,229,140,446,145,1025,126,1559,123,535,210,20950,82,126,22,21,35,53,**,**,0,0,0,0,0,0,0,0,210,3543,210,3767,95,693,116,695
98620,"$200,000 or more",21,**,**,55,**,6026,**,**,20,346,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,21,5284,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,21,1271,21,1311,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98624,,588,274,326,"1,094",255,"28,110",447,"17,170",298,913,128,381,111,238,112,"1,973",0,116,478,52,874,156,"3,598",54,324,101,"1,160",0,0,166,"3,488",24,133,104,179,155,472,164,876,137,"1,617",111,303,463,"17,852",167,282,0,0,79,102,21,10,54,57,83,137,72,118,0,0,422,"2,617",450,"2,903",125,451,412,"1,273"
98624,"$1 under $25,000",244,45,112,323,59,3033,175,2012,86,150,33,54,30,38,35,208,0,30,-25,**,**,48,424,26,127,**,**,0,0,30,540,**,**,20,17,23,45,28,72,**,**,**,**,124,726,20,7,0,0,**,**,**,**,29,26,57,90,49,80,0,0,112,70,134,119,31,34,179,272
98624,"$25,000 under $50,000",149,73,83,306,84,5447,118,3800,68,211,29,69,24,32,46,326,0,26,42,52,874,38,774,28,197,51,258,0,0,36,556,24,133,37,34,34,65,36,102,46,360,40,102,144,2663,55,50,0,0,56,65,21,10,25,31,26,47,23,38,0,0,117,269,123,317,26,33,118,321
98624,"$50,000 under $75,000",77,52,51,169,39,4677,56,2829,51,202,39,113,35,53,**,**,0,36,92,**,**,45,1235,**,**,22,330,0,0,26,491,**,**,**,**,26,56,26,99,23,236,37,91,77,3014,37,46,0,0,**,**,**,**,**,**,0,0,0,0,0,0,75,364,75,405,35,97,52,146
98624,"$75,000 under $100,000",52,44,34,124,27,4557,44,3171,36,134,**,**,**,**,31,1439,0,**,**,**,**,**,**,**,**,28,572,0,0,29,637,**,**,20,56,28,105,29,203,26,329,**,**,52,3191,22,32,0,0,23,37,**,**,0,0,0,0,0,0,0,0,52,430,52,448,**,**,38,159
98624,"$100,000 under $200,000",66,60,46,172,46,10396,54,5358,57,216,27,145,22,115,**,**,0,24,369,**,**,25,1165,**,**,**,**,0,0,45,1264,**,**,27,72,44,201,45,400,42,692,34,110,66,8258,33,147,0,0,**,**,**,**,0,0,0,0,0,0,0,0,66,1484,66,1614,33,287,25,375
98624,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98625,,"2,735","1,512","1,270","5,812","1,633","152,379","2,223","111,392","1,364","2,571",492,"1,626",420,"1,047",385,"2,939",40,378,"1,423",269,"4,499",705,"15,036",389,"3,263",480,"5,480",0,0,"1,068","23,596",201,969,671,"1,214","1,002","2,588","1,053","5,219",949,"11,995",807,"1,841","2,183","96,610",906,"1,126",120,99,538,733,107,52,266,336,372,751,329,662,29,114,"1,979","14,885","2,093","15,638",449,"1,184","2,136","6,144"
98625,"$1 under $25,000",897,211,353,1316,309,11049,647,7207,280,366,101,164,77,90,120,503,**,75,-81,66,443,174,1852,104,822,57,95,0,0,105,1936,**,**,70,59,92,204,99,293,74,784,52,68,387,2127,91,29,**,**,31,10,22,12,137,144,260,559,234,493,0,0,321,199,406,313,94,33,714,1303
98625,"$25,000 under $50,000",613,305,298,1290,355,22724,483,16057,280,537,104,254,95,145,71,277,**,82,-41,78,798,169,2958,121,1098,161,1007,0,0,199,3637,36,68,126,132,175,389,195,646,166,1671,144,239,574,10743,229,190,25,14,142,129,**,**,94,150,112,192,95,169,0,0,478,1105,496,1212,79,94,514,1438
98625,"$50,000 under $75,000",506,355,251,1223,356,31263,439,23478,281,447,87,230,76,168,69,708,40,65,-16,46,907,155,3405,83,706,130,1850,0,0,250,5054,43,139,167,307,237,593,249,1133,236,2619,180,336,503,18987,233,328,32,23,149,231,24,13,35,42,0,0,0,0,**,**,471,2273,480,2395,107,179,391,1285
98625,"$75,000 under $100,000",345,293,172,944,300,29940,308,23435,233,423,77,186,65,71,51,316,**,56,124,41,1040,100,2787,48,316,76,1420,0,0,218,4864,45,200,138,245,209,474,216,1007,208,2679,175,404,345,20165,174,303,31,30,131,230,27,11,**,**,0,0,0,0,**,**,338,2596,340,2710,55,117,280,1089
98625,"$100,000 under $200,000",330,309,164,924,281,41421,304,32020,253,682,103,567,87,366,74,1135,**,100,1437,38,1311,107,4034,33,321,56,1108,0,0,253,6730,77,562,141,309,247,764,251,1606,230,3602,216,702,330,30362,179,276,32,32,85,133,34,16,**,**,0,0,0,0,29,114,327,4906,327,5138,91,358,237,1029
