adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$50,000 under $75,000",1380,3894,1479,84763,1274,71659,651,526,253,292,218,804,205,1825,25,-191,43,103,*,*,820,50854,13485,633,39441,1199,811,50286,3210,0,0,1378,7528,1313,6640,0,0,736
"$75,000 under $100,000",682,1956,674,58250,642,49111,399,310,152,141,134,1123,102,826,26,-328,*,*,*,*,505,43468,9575,412,35439,883,502,43203,2475,*,*,682,6052,678,5679,0,0,359
"$100,000 or more     ",443,1239,393,69828,387,41674,325,2077,166,1690,182,9911,83,3479,20,-373,19,107,18,230,354,53362,8664,301,46307,1273,353,53156,2387,46,117,442,11211,442,11569,0,0,266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98601,1204,2932,1053,62401,1011,44257,551,635,193,279,213,6021,222,2112,70,-372,24,94,*,*,547,41870,9861,425,35333,847,547,41334,2670,17,44,974,6474,946,6330,138,226,666
"Under $10,000        ",187,290,78,425,135,745,42,28,18,14,22,27,33,-16,*,*,0,0,0,0,11,74,120,*,*,*,16,-266,46,0,0,35,4,58,22,59,65,71
"$10,000 under $25,000",224,416,120,3766,156,2493,86,160,31,70,31,57,45,307,24,-79,11,40,*,*,48,840,543,34,546,43,47,830,115,0,0,156,113,155,166,49,129,121
"$25,000 under $50,000",295,654,217,11005,259,8878,119,59,32,27,36,135,51,455,*,*,*,*,0,0,113,4586,1788,80,3270,100,111,4526,381,0,0,285,726,254,704,30,32,161
"$50,000 under $75,000",265,782,293,16368,242,13150,151,99,54,83,51,484,46,537,31,-226,13,54,0,0,178,11088,2992,137,8599,199,176,10962,757,0,0,265,1339,250,1230,0,0,163
"$75,000 under $100,000",130,429,182,11169,122,9248,76,99,25,38,25,357,23,534,*,*,*,*,0,0,106,9161,2184,92,7990,188,106,9161,608,0,0,130,1071,126,1012,0,0,78
"$100,000 or more     ",103,361,163,19668,97,9743,77,190,33,47,48,4961,24,295,15,-67,*,*,0,0,91,16121,2234,82,14928,317,91,16121,763,17,44,103,3221,103,3196,0,0,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98602,95,210,62,2840,74,2145,33,15,13,4,*,*,18,166,*,*,*,*,0,0,18,838,238,10,487,44,19,863,51,0,0,62,210,65,214,22,38,45
"Under $10,000        ",26,39,5,117,16,71,15,11,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*
"$10,000 under $25,000",23,52,19,400,19,278,*,*,13,4,*,*,18,166,*,*,*,*,0,0,*,*,*,0,0,0,*,*,*,0,0,17,8,23,27,22,38,22
"$25,000 under $50,000",29,80,27,1086,25,892,18,4,*,*,*,*,*,*,*,*,0,0,0,0,18,838,238,10,487,44,19,863,51,0,0,28,60,25,58,*,*,23
"$50,000 under $75,000",17,39,11,1237,14,904,*,*,*,*,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,17,142,17,129,0,0,*
"$75,000 under $100,000",*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,*
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98603,351,779,228,21351,295,13434,170,508,58,112,68,3148,44,156,*,*,*,*,0,0,137,11245,2803,104,8590,266,136,11227,739,*,*,291,2694,283,2637,29,60,164
"Under $10,000        ",43,52,6,88,35,169,14,6,13,8,*,*,*,*,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0,0,0,10,1,13,4,*,*,16
"$10,000 under $25,000",80,138,30,1404,59,925,26,14,*,*,18,42,25,132,0,0,0,0,0,0,17,307,309,*,*,*,16,289,52,0,0,54,45,57,65,29,60,29
"$25,000 under $50,000",89,186,46,3421,75,2550,41,90,13,26,13,43,*,*,*,*,*,*,0,0,29,1190,529,32,1084,52,29,1190,131,0,0,88,227,79,224,*,*,43
"$50,000 under $75,000",74,232,96,4547,72,4000,39,7,17,6,15,2,19,24,0,0,*,*,0,0,46,2917,807,39,2492,57,46,2917,195,0,0,74,368,69,302,0,0,34
"$75,000 under $100,000",34,100,35,2901,31,2460,23,20,*,*,*,*,*,*,0,0,0,0,0,0,25,2146,443,15,1276,22,25,2146,150,0,0,34,295,34,278,0,0,18
"$100,000 or more     ",31,71,15,8990,23,3330,27,371,15,72,22,3061,*,*,0,0,*,*,0,0,20,4685,715,18,3738,135,20,4685,211,*,*,31,1758,31,1764,0,0,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98604,13002,31946,11699,796245,11231,577178,6324,11849,2750,9995,2600,48448,2193,28777,216,-2109,414,1734,100,1227,6568,592473,138969,5506,507354,17999,6546,586273,37414,265,812,10869,97111,10331,95266,1273,2293,6893
"Under $10,000        ",1914,2502,385,3567,1503,8713,512,575,250,392,232,482,231,-399,19,-207,10,21,0,0,104,586,1559,68,393,70,141,-2592,422,0,0,517,90,675,253,362,420,774
"$10,000 under $25,000",2286,4088,1230,39467,1820,29510,721,1150,292,479,260,315,294,2215,31,-134,41,147,*,*,424,7849,6129,308,5788,565,412,7623,1040,0,0,1711,1398,1617,1709,568,1490,1146
"$25,000 under $50,000",2954,7023,2678,109120,2566,88677,1181,1406,456,921,417,1154,492,4604,46,-394,85,306,17,104,1312,50947,19970,1013,39315,1893,1290,50079,4445,*,*,2813,6994,2417,6634,343,383,1614
"$50,000 under $75,000",2498,7694,3203,154792,2298,129099,1389,1565,532,802,476,1869,499,5407,32,-495,104,384,14,66,1826,114026,32955,1488,93413,3465,1811,113099,7949,*,*,2480,12410,2296,10910,0,0,1407
"$75,000 under $100,000",1629,5217,2107,139957,1505,115361,1100,1251,450,850,397,2476,312,4694,38,-314,66,289,13,160,1373,118253,27361,1224,105522,3261,1369,117924,7518,19,23,1627,13548,1609,12580,0,0,871
"$100,000 or more     ",1721,5422,2096,349342,1539,205818,1421,5902,770,6551,818,42152,365,12256,50,-565,108,587,56,897,1529,300812,50995,1405,262923,8745,1523,300140,16040,246,789,1721,62671,1717,63180,0,0,1081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98605,616,1318,457,22263,541,17862,219,245,94,151,86,796,95,678,*,*,21,56,0,0,123,7733,1809,90,5974,159,122,7654,503,*,*,467,2148,429,2112,136,262,351
"Under $10,000        ",112,168,44,441,88,470,18,2,*,*,12,-5,17,66,0,0,0,0,0,0,*,*,*,13,164,7,*,*,*,0,0,23,3,34,14,51,59,57
"$10,000 under $25,000",188,373,140,3230,161,2606,49,56,26,31,15,7,22,181,0,0,*,*,0,0,20,261,193,*,*,*,19,182,39,0,0,130,105,109,123,60,173,124
"$25,000 under $50,000",174,426,174,6362,163,5615,58,20,18,15,12,10,21,195,*,*,21,56,0,0,35,1322,387,22,848,28,35,1322,86,0,0,172,464,146,428,25,30,89
"$50,000 under $75,000",87,217,62,5373,82,4503,49,18,34,20,31,54,24,222,0,0,*,*,0,0,30,1873,483,25,1572,44,30,1873,117,0,0,87,515,85,508,0,0,46
"$75,000 under $100,000",27,72,22,2316,24,1910,20,54,*,*,*,*,11,14,0,0,*,*,0,0,18,1556,322,14,1205,55,18,1556,101,0,0,27,258,27,241,0,0,18
"$100,000 or more     ",28,62,15,4541,23,2758,25,95,16,85,16,730,*,*,0,0,0,0,0,0,20,2721,424,16,2185,25,20,2721,160,*,*,28,803,28,798,0,0,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98606,4018,9689,3364,297453,3342,199177,2382,6612,1229,5096,1118,22155,793,13425,122,-925,131,526,61,1025,2057,215173,47422,1804,198865,6558,2062,213666,15015,158,718,3335,42808,3294,43231,272,415,2114
"Under $10,000        ",662,848,110,1507,482,2976,221,257,137,113,116,122,95,48,16,-152,*,*,0,0,36,208,584,25,147,38,53,-614,196,0,0,187,39,253,106,108,99,264
"$10,000 under $25,000",674,1055,229,11514,510,8229,255,366,114,186,96,328,99,460,12,-18,11,22,*,*,133,2444,2184,92,1733,154,131,2411,411,0,0,519,450,508,527,114,275,331
"$25,000 under $50,000",734,1563,474,27085,604,20432,364,581,159,335,148,311,134,981,27,-128,25,83,*,*,303,11649,5218,245,9491,480,300,11559,1250,0,0,687,1768,639,1836,50,41,393
"$50,000 under $75,000",639,1917,770,40099,551,30828,457,646,173,401,177,1104,150,2346,15,-254,39,153,19,136,448,28315,8311,377,23853,963,446,28191,2306,*,*,634,3269,594,3146,0,0,347
"$75,000 under $100,000",472,1504,602,40802,438,32725,362,519,177,309,142,810,113,1378,18,-166,16,60,*,*,378,32854,8491,344,29922,1087,373,32416,2493,*,*,471,3861,464,3688,0,0,250
"$100,000 or more     ",837,2802,1179,176446,757,103987,723,4243,469,3752,439,19480,202,8212,34,-207,40,208,42,889,759,139703,22634,721,133719,3836,759,139703,8359,158,718,837,33421,836,33928,0,0,529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98607,10351,24911,8737,857667,8899,598580,5902,15030,3375,19050,3193,89050,1855,35854,70,-486,329,1305,151,2535,5856,700164,145785,5166,646760,22951,5870,694536,43437,467,1588,8758,121875,8527,122026,801,1336,5339
"Under $10,000        ",1449,1841,250,1376,1109,6478,424,606,267,259,258,166,156,-112,*,*,*,*,0,0,60,323,919,40,223,28,105,-3976,399,0,0,352,64,460,199,273,284,574
"$10,000 under $25,000",1529,2519,633,26423,1178,19412,543,800,246,441,240,186,219,1583,20,-67,28,74,*,*,281,5156,4642,202,3727,424,271,4974,937,0,0,1158,977,1090,1185,350,873,735
"$25,000 under $50,000",1859,3919,1318,68649,1582,54215,808,1481,401,850,372,695,294,2556,*,*,58,200,*,*,826,32133,13778,646,25141,1403,812,31644,3268,0,0,1754,4566,1585,4399,178,179,951
"$50,000 under $75,000",1672,4614,1781,104613,1496,84375,1038,1409,507,975,458,2164,331,3533,25,-181,75,315,26,202,1232,77708,23752,1057,66730,2636,1231,77641,6323,*,*,1655,8767,1570,8059,0,0,905
"$75,000 under $100,000",1364,4229,1680,118719,1274,100935,962,1196,518,1227,456,1806,295,4040,*,*,51,188,12,91,1182,103231,25534,1070,93542,2933,1178,102905,7329,31,38,1362,11521,1346,10696,0,0,666
"$100,000 or more     ",2478,7789,3075,537887,2260,333165,2127,9538,1436,15298,1409,84033,560,24254,25,-238,117,528,113,2242,2275,481613,77160,2151,457397,15527,2273,481348,25181,436,1550,2477,95980,2476,97488,0,0,1508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98609,62,133,37,3538,50,2878,27,5,*,*,*,*,*,*,0,0,0,0,0,0,30,2507,555,24,2087,23,27,2377,174,0,0,52,385,50,382,*,*,32
"Under $10,000        ",*,*,*,*,*,*,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10
"$10,000 under $25,000",29,52,15,563,21,420,12,1,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,17,31,*,*,*
"$25,000 under $50,000",*,*,*,*,*,*,*,*,0,0,0,0,*,*,0,0,0,0,0,0,10,507,118,*,*,*,*,*,*,0,0,*,*,*,*,0,0,11
"$50,000 under $75,000",11,25,6,659,10,550,*,*,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,11,66,11,62,0,0,*
"$75,000 under $100,000",22,56,16,2316,19,1908,15,4,*,*,0,0,*,*,0,0,0,0,0,0,20,2000,437,24,2087,23,27,2377,174,0,0,22,292,22,289,0,0,11
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98610,1132,2435,774,53461,969,36236,415,1071,157,485,155,9098,153,470,*,*,23,94,*,*,315,26186,5060,216,20228,498,316,25977,1143,14,71,899,5948,844,5746,177,331,640
"Under $10,000        ",191,249,34,261,155,845,42,12,13,4,12,-10,26,-195,0,0,0,0,0,0,*,*,*,*,*,*,11,-47,10,0,0,40,6,50,12,55,61,80
"$10,000 under $25,000",299,537,169,5093,238,3809,83,135,25,58,24,18,37,191,*,*,0,0,0,0,44,732,553,21,364,46,36,656,76,0,0,226,164,198,180,95,242,178
"$25,000 under $50,000",297,676,233,11020,263,9045,96,132,36,51,39,190,39,233,0,0,*,*,0,0,81,3091,1079,54,2067,119,80,3064,194,0,0,289,758,256,681,27,28,169
"$50,000 under $75,000",207,597,212,12822,191,10873,91,132,35,28,29,12,28,209,*,*,23,94,0,0,101,6410,1651,73,4644,171,100,6351,341,0,0,206,1120,203,993,0,0,120
"$75,000 under $100,000",73,210,78,6104,69,5023,51,41,18,17,16,288,12,38,0,0,*,*,0,0,45,3766,752,38,3173,64,45,3766,172,0,0,73,654,72,619,0,0,37
"$100,000 or more     ",65,166,48,18161,53,6641,52,619,30,327,35,8600,11,-6,*,*,*,*,*,*,44,12187,1025,30,9980,98,44,12187,350,14,71,65,3246,65,3261,0,0,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98611,3944,8592,2503,181245,3252,132396,2196,3579,681,1318,696,8262,500,4598,97,-495,92,357,15,157,1217,87754,20357,953,72161,2631,1219,86930,4736,28,75,3229,18532,3064,18057,520,827,2062
"Under $10,000        ",651,897,141,2279,508,3003,243,208,76,62,93,100,59,142,21,-54,0,0,0,0,32,209,501,21,137,17,41,-411,96,0,0,174,27,216,81,186,193,277
"$10,000 under $25,000",836,1474,375,14215,612,9479,349,565,119,193,107,96,94,565,*,*,*,*,*,*,103,1777,1513,75,1288,167,101,1746,243,0,0,614,432,537,514,242,542,444
"$25,000 under $50,000",969,2107,648,35945,785,26554,486,799,147,321,144,504,109,925,14,-47,33,97,15,157,251,9730,3542,177,6795,359,246,9557,666,0,0,953,2522,847,2370,92,92,540
"$50,000 under $75,000",775,2099,700,47823,697,39036,517,497,138,184,133,920,118,968,22,-184,29,97,0,0,371,23237,5704,287,18072,703,371,23237,1309,*,*,775,4370,757,4002,0,0,395
"$75,000 under $100,000",414,1179,380,35389,387,29010,328,408,84,155,90,767,57,522,15,-53,11,51,*,*,258,22241,4618,213,18396,489,258,22241,1219,*,*,414,3750,408,3549,0,0,213
"$100,000 or more     ",299,836,259,45594,263,25314,273,1102,117,403,129,5875,63,1476,25,-157,19,112,*,*,202,30560,4479,180,27473,896,202,30560,1203,28,75,299,7431,299,7541,0,0,193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98612,1217,2474,603,63688,864,35307,716,2007,325,1039,330,6384,239,2597,43,-149,35,155,*,*,401,32793,6920,320,27999,880,405,32324,1886,13,42,935,7784,935,7910,135,214,761
"Under $10,000        ",219,298,40,480,137,611,79,83,36,62,34,30,34,9,10,-14,*,*,0,0,10,59,167,*,*,*,19,-168,46,0,0,31,4,57,31,53,43,122
"$10,000 under $25,000",259,453,101,4373,161,2364,125,252,49,159,56,32,49,184,*,*,12,33,0,0,50,884,781,43,647,84,48,849,132,0,0,173,122,177,163,61,147,154
"$25,000 under $50,000",276,572,152,10051,194,6370,161,384,69,141,67,161,55,320,19,-42,*,*,0,0,79,2984,1158,58,2159,112,78,2953,258,0,0,269,687,242,684,21,24,165
"$50,000 under $75,000",220,536,148,13688,184,9854,147,249,62,168,52,219,43,295,*,*,12,54,0,0,110,6929,1807,89,5653,237,109,6857,409,0,0,219,1280,217,1220,0,0,143
"$75,000 under $100,000",129,347,109,11142,104,6956,98,275,49,142,51,936,20,142,14,-93,*,*,0,0,72,6218,1292,56,4849,168,72,6218,412,0,0,129,1192,128,1155,0,0,91
"$100,000 or more     ",114,268,53,23954,84,9152,106,764,60,367,70,5006,38,1647,*,*,11,68,*,*,80,15719,1715,74,14691,279,79,15615,629,13,42,114,4499,114,4657,0,0,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98613,171,392,118,7324,130,4595,85,123,51,49,41,98,21,63,32,-79,*,*,0,0,31,2471,630,20,1829,104,32,3179,144,*,*,123,896,123,908,20,29,99
"Under $10,000        ",45,66,9,70,25,168,18,29,18,6,16,-9,11,68,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,14,5,20,29,22
"$10,000 under $25,000",36,63,14,624,31,510,11,2,*,*,*,*,*,*,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,24,26,24,*,*,21
"$25,000 under $50,000",45,114,35,1689,35,1203,23,53,21,31,12,38,*,*,*,*,*,*,0,0,16,746,263,*,*,*,10,341,22,0,0,43,99,38,97,0,0,28
"$50,000 under $75,000",19,64,27,1187,17,922,11,3,*,*,13,69,10,-5,14,-100,0,0,0,0,*,*,*,*,*,*,12,900,53,0,0,19,95,19,91,0,0,18
"$75,000 under $100,000",12,35,11,1014,10,747,10,3,12,12,*,*,*,*,*,*,0,0,0,0,15,1725,367,20,1829,104,*,*,*,0,0,12,98,12,100,0,0,*
"$100,000 or more     ",14,50,22,2740,12,1045,12,33,*,*,*,*,*,*,*,*,0,0,0,0,*,*,*,*,*,*,10,1938,69,*,*,14,580,14,591,0,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98614,267,478,88,11725,187,5202,140,425,76,193,71,257,60,535,*,*,11,35,0,0,77,5923,1189,59,4084,131,77,5907,313,*,*,202,1174,205,1258,18,34,174
"Under $10,000        ",58,77,7,136,41,217,13,5,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,11,2,18,13,*,*,32
"$10,000 under $25,000",72,109,16,1253,48,773,32,65,26,51,21,-4,19,130,0,0,*,*,0,0,17,242,224,11,155,22,17,226,35,0,0,57,48,56,59,18,34,40
"$25,000 under $50,000",73,148,33,2704,51,1425,46,154,24,24,23,37,21,260,*,*,11,35,0,0,21,765,283,17,615,27,21,765,53,0,0,71,188,68,233,*,*,53
"$50,000 under $75,000",29,72,20,1807,30,1676,20,44,12,20,12,5,10,75,0,0,*,*,0,0,16,1012,254,19,1358,51,16,1012,71,0,0,29,167,29,166,0,0,30
"$75,000 under $100,000",13,28,6,1080,*,*,10,14,*,*,*,*,10,70,0,0,0,0,0,0,10,836,170,*,*,*,10,836,47,0,0,13,122,13,120,0,0,*
"$100,000 or more     ",22,44,6,4745,17,1111,19,143,14,98,15,219,*,*,0,0,*,*,0,0,13,3068,258,12,1956,31,13,3068,107,*,*,21,647,21,667,0,0,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98616,112,209,40,6427,87,2765,53,266,19,20,19,85,13,25,0,0,*,*,0,0,38,2524,648,20,1422,14,39,2548,180,0,0,84,817,86,812,13,19,59
"Under $10,000        ",21,32,8,4,15,84,10,17,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,13,19,15
"$10,000 under $25,000",23,35,6,377,19,268,*,*,*,*,*,*,13,25,0,0,0,0,0,0,*,*,*,0,0,0,*,*,*,0,0,16,12,20,14,*,*,*
"$25,000 under $50,000",26,45,9,967,22,660,12,8,*,*,*,*,*,*,0,0,0,0,0,0,24,1058,330,10,468,7,25,1082,75,0,0,26,71,24,68,0,0,14
"$50,000 under $75,000",17,39,7,1019,15,677,10,1,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,17,95,17,97,0,0,10
"$75,000 under $100,000",15,38,9,1277,16,1076,11,12,19,20,19,85,*,*,0,0,0,0,0,0,14,1466,318,10,954,7,14,1466,105,0,0,15,118,15,110,0,0,20
"$100,000 or more     ",10,20,1,2783,*,*,10,228,*,*,*,*,*,*,0,0,*,*,0,0,*,*,*,*,*,*,*,*,*,0,0,10,521,10,523,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98617,437,937,282,16842,344,11616,191,295,76,126,80,765,33,60,12,-24,*,*,0,0,116,7173,1677,83,4864,157,116,7164,449,0,0,337,1539,315,1511,75,132,266
"Under $10,000        ",78,108,21,316,58,301,18,37,*,*,*,*,*,*,*,*,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,13,2,16,3,26,30,34
"$10,000 under $25,000",110,202,60,1864,76,1203,49,81,23,36,24,16,*,*,12,-24,0,0,0,0,22,384,239,19,325,25,22,375,43,0,0,78,53,74,61,31,82,63
"$25,000 under $50,000",124,322,120,4434,99,3304,49,75,20,34,16,15,23,37,*,*,*,*,0,0,25,894,355,16,552,33,25,894,61,0,0,121,266,101,228,18,20,79
"$50,000 under $75,000",66,170,51,3945,59,2888,35,49,14,18,19,114,10,23,*,*,*,*,0,0,36,2141,563,25,1485,56,36,2141,142,0,0,66,348,65,327,0,0,47
"$75,000 under $100,000",38,89,22,3261,35,2533,22,13,19,38,10,72,*,*,*,*,0,0,0,0,18,1582,294,23,2502,43,18,1582,95,0,0,38,396,38,393,0,0,27
"$100,000 or more     ",21,46,8,3022,17,1387,18,40,*,*,11,548,*,*,*,*,0,0,0,0,15,2172,226,*,*,*,15,2172,108,0,0,21,474,21,499,0,0,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98619,214,441,118,9417,180,6254,93,98,40,24,49,447,16,111,13,-13,*,*,0,0,34,2274,521,14,1205,25,32,2175,97,*,*,161,1142,154,1099,25,36,125
"Under $10,000        ",51,73,9,18,37,201,19,13,12,5,15,-10,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,2,12,8,28
"$10,000 under $25,000",37,66,17,622,30,481,16,7,*,*,*,*,*,*,*,*,0,0,0,0,*,*,*,0,0,0,*,*,*,0,0,35,24,25,26,13,28,18
"$25,000 under $50,000",56,124,41,2128,47,1661,24,42,17,6,12,39,16,111,13,-13,*,*,0,0,23,1029,290,*,*,*,22,1016,45,0,0,56,152,50,129,*,*,35
"$50,000 under $75,000",41,95,23,2502,39,1913,19,28,*,*,11,20,*,*,*,*,*,*,0,0,*,*,*,14,1205,25,*,*,*,0,0,41,244,41,249,0,0,22
"$75,000 under $100,000",17,50,18,1471,16,1145,15,8,11,13,*,*,*,*,*,*,0,0,0,0,11,1245,231,*,*,*,10,1159,52,0,0,17,160,16,139,0,0,12
"$100,000 or more     ",12,33,10,2676,11,853,*,*,*,*,11,398,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,12,562,12,554,0,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98620,2741,5846,1645,106876,2101,67810,1279,3156,579,1712,513,7661,453,2724,207,-1822,57,218,*,*,700,47346,12273,533,39185,2061,702,46383,2668,27,95,1973,10539,1934,10496,468,816,1580
"Under $10,000        ",583,902,197,1045,400,2230,178,181,76,57,68,102,101,-171,34,-313,*,*,0,0,22,106,289,13,65,13,33,-442,61,0,0,86,12,151,66,183,183,297
"$10,000 under $25,000",710,1373,388,12061,515,7969,261,475,110,194,98,300,92,682,44,-394,*,*,0,0,95,1721,1429,59,1086,171,92,1669,262,0,0,453,331,450,429,206,544,399
"$25,000 under $50,000",689,1581,487,25107,554,17888,315,609,128,210,101,532,118,383,42,-146,27,84,*,*,177,6642,2638,124,4698,401,174,6526,438,0,0,677,1601,590,1488,79,89,418
"$50,000 under $75,000",412,1100,338,25223,345,17364,260,509,126,287,103,724,73,752,45,-453,19,74,*,*,182,11306,2880,145,8966,489,180,11188,582,0,0,411,2239,398,2095,0,0,233
"$75,000 under $100,000",196,519,147,16753,171,11701,136,215,61,219,59,638,36,742,21,-171,11,60,0,0,119,10223,2232,96,8261,338,119,10223,530,*,*,196,1786,195,1773,0,0,125
"$100,000 or more     ",151,371,88,26687,116,10658,129,1167,78,745,84,5365,33,336,21,-345,*,*,*,*,105,17348,2805,96,16109,649,104,17219,795,27,95,150,4570,150,4645,0,0,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98621,82,174,46,3298,52,1240,40,41,15,29,19,494,20,190,*,*,0,0,0,0,17,996,287,*,*,*,20,1013,62,*,*,53,275,59,312,15,26,49
"Under $10,000        ",15,22,3,16,*,*,14,8,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,10,233,21,0,0,0,0,*,*,*,*,*
"$10,000 under $25,000",24,53,19,395,24,296,*,*,0,0,*,*,*,*,*,*,0,0,0,0,*,*,*,0,0,0,*,*,*,0,0,12,11,18,18,15,26,21
"$25,000 under $50,000",20,44,11,740,12,269,10,15,*,*,19,494,20,190,0,0,0,0,0,0,17,996,287,*,*,*,*,*,*,0,0,19,45,19,70,0,0,13
"$50,000 under $75,000",13,38,13,762,16,675,16,18,15,29,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,10,780,41,0,0,22,219,22,224,0,0,15
"$75,000 under $100,000",10,17,0,1385,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,0
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98622,151,348,112,8845,127,6067,85,65,34,30,35,254,19,113,0,0,*,*,*,*,69,6086,1435,57,4949,130,70,6093,401,*,*,135,914,127,960,12,14,79
"Under $10,000        ",13,19,4,62,10,52,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,0,0,*,*,*,*,*,*,13
"$10,000 under $25,000",24,45,13,409,18,262,14,13,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0,0,0,22,14,23,21,12,14,*
"$25,000 under $50,000",38,82,27,1346,34,1063,17,9,*,*,*,*,*,*,0,0,0,0,0,0,11,436,141,12,417,9,12,443,45,0,0,37,92,31,93,*,*,19
"$50,000 under $75,000",33,94,39,2016,27,1296,18,10,24,20,25,71,19,113,0,0,*,*,0,0,24,1487,412,17,1046,40,24,1487,112,0,0,33,165,30,164,0,0,22
"$75,000 under $100,000",21,48,10,1795,18,1333,15,21,*,*,*,*,*,*,0,0,0,0,0,0,14,1222,248,11,944,9,14,1222,79,0,0,21,196,21,197,0,0,11
