adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$10,000 under $25,000",26,54,18,416,22,331,18,7,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,11,15,15,18,28,14
"$25,000 under $50,000",30,68,25,1260,27,1044,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,--,--,30,112,27,100,*,*,16
"$50,000 under $75,000",*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98537,1055,2205,672,42880,877,33825,515,456,233,348,197,314,120,882,*,*,25,74,*,*,256,16177,3730,194,12856,339,257,16165,971,--,--,834,4253,799,4127,147,222,525
"Under $10,000        ",195,261,47,731,134,614,47,14,24,45,25,-21,12,-4,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,44,8,55,18,57,53,68
"$10,000 under $25,000",238,435,123,4059,176,2774,100,96,33,40,30,24,31,217,*,*,13,35,--,--,29,469,320,19,290,43,30,457,66,--,--,173,137,156,151,71,155,123
"$25,000 under $50,000",270,558,181,9969,235,8125,134,139,53,118,39,44,34,234,*,*,*,*,--,--,65,2475,829,45,1707,69,65,2475,169,--,--,266,763,241,720,19,14,144
"$50,000 under $75,000",190,493,169,11697,180,10062,104,74,52,51,45,36,25,195,*,*,12,39,*,*,79,4923,1131,59,3722,99,79,4923,292,--,--,189,1149,185,1075,--,--,100
"$75,000 under $100,000",108,312,106,9269,104,7806,82,52,47,65,34,-4,18,240,--,--,*,*,--,--,59,5098,919,50,4311,87,59,5098,282,--,--,108,1057,108,996,--,--,54
"$100,000 or more     ",54,146,46,7155,48,4444,48,81,24,29,24,235,*,*,*,*,*,*,*,*,24,3212,531,21,2826,41,24,3212,162,--,--,54,1139,54,1167,--,--,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98538,179,393,121,7453,135,4935,102,128,36,51,39,394,17,76,22,-60,*,*,--,--,51,3469,795,41,2641,106,52,3132,156,*,*,128,744,130,738,24,36,108
"Under $10,000        ",44,62,6,155,24,136,21,25,12,17,13,-16,*,*,10,-12,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,*,*,15,7,10,5,22
"$10,000 under $25,000",36,68,19,585,26,400,15,25,*,*,12,5,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,30,20,21,21,14,31,24
"$25,000 under $50,000",44,101,38,1656,39,1278,25,23,13,11,*,*,17,76,12,-48,*,*,--,--,21,778,308,24,1071,65,23,764,55,--,--,43,112,39,102,*,*,25
"$50,000 under $75,000",24,74,31,1477,22,1226,15,19,*,*,*,*,*,*,*,*,--,--,--,--,10,620,133,*,*,*,10,620,30,--,--,24,136,24,121,--,--,17
"$75,000 under $100,000",20,54,14,1751,24,1895,16,11,11,23,14,405,*,*,*,*,*,*,--,--,20,2071,354,17,1570,41,19,1748,71,--,--,20,189,20,189,--,--,20
"$100,000 or more     ",11,34,13,1829,*,*,10,25,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,*,*,11,287,11,298,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98539,102,242,86,3527,89,2996,37,12,10,8,*,*,11,25,*,*,*,*,--,--,11,725,164,*,*,*,10,652,38,--,--,78,289,75,266,18,30,55
"Under $10,000        ",21,37,11,91,16,67,*,*,10,8,*,*,11,25,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,18,30,12
"$10,000 under $25,000",23,44,14,396,19,279,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,14,24,20,*,*,11
"$25,000 under $50,000",30,89,39,1085,26,845,23,11,*,*,*,*,*,*,*,*,--,--,--,--,11,725,164,*,*,*,10,652,38,--,--,30,66,23,53,*,*,16
"$50,000 under $75,000",28,72,22,1955,28,1805,14,1,*,*,*,*,*,*,--,--,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,28,209,28,193,--,--,16
"$75,000 under $100,000",*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98540,315,620,150,18731,269,12894,178,91,74,97,54,236,44,677,--,--,*,*,*,*,138,10901,2247,109,9279,202,136,10818,649,*,*,265,2307,265,2389,24,31,146
"Under $10,000        ",50,64,9,250,37,312,20,7,*,*,12,19,15,58,--,--,--,--,--,--,*,*,*,--,--,--,*,*,*,--,--,12,2,16,5,12,16,18
"$10,000 under $25,000",46,64,8,784,34,525,14,16,26,48,*,*,*,*,--,--,--,--,--,--,14,225,161,*,*,*,14,225,29,--,--,34,30,35,37,12,15,21
"$25,000 under $50,000",81,138,29,2974,71,2481,36,15,*,*,*,*,*,*,--,--,*,*,--,--,24,898,281,21,669,22,22,815,62,--,--,81,247,78,246,*,*,33
"$50,000 under $75,000",57,138,42,3471,52,2797,44,23,17,18,14,0,18,280,--,--,*,*,--,--,36,2196,556,31,1880,71,36,2196,150,--,--,57,334,55,347,--,--,27
"$75,000 under $100,000",35,86,19,3050,33,2574,28,8,14,1,10,36,*,*,--,--,--,--,--,--,29,2520,517,26,2269,48,29,2520,182,--,--,35,333,35,334,--,--,20
"$100,000 or more     ",46,130,43,8202,42,4205,36,22,17,30,18,181,11,339,--,--,--,--,*,*,35,5062,732,31,4461,61,35,5062,226,*,*,46,1361,46,1420,--,--,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98541,3724,8088,2657,138692,3125,108822,1513,2134,589,1486,512,3662,477,3874,94,-378,66,184,*,*,906,56971,14164,673,45245,1409,902,56146,3193,*,*,2905,12899,2737,12511,631,1033,1863
"Under $10,000        ",736,1041,210,2130,554,2904,168,181,74,123,77,42,90,174,11,-51,--,--,--,--,14,83,173,*,*,*,17,-382,46,--,--,166,33,223,81,251,276,314
"$10,000 under $25,000",903,1668,505,15612,697,11353,289,386,109,150,86,58,78,474,15,-63,*,*,--,--,94,1794,1133,71,1261,101,94,1794,186,--,--,673,537,601,581,260,654,445
"$25,000 under $50,000",1086,2508,909,39887,942,32162,418,451,148,316,127,309,135,1240,19,-88,25,55,--,--,269,10187,3695,176,6760,283,266,10080,780,--,--,1067,2853,924,2604,120,103,548
"$50,000 under $75,000",570,1587,576,34802,530,29789,309,345,109,199,84,219,92,916,24,-84,19,47,*,*,259,16030,4123,192,11907,356,256,15868,875,--,--,570,3200,560,2975,--,--,295
"$75,000 under $100,000",275,831,298,23528,263,19013,194,287,80,299,70,566,48,418,25,-92,11,32,--,--,166,14293,2821,142,12319,292,165,14202,787,--,--,275,2522,275,2396,--,--,159
"$100,000 or more     ",154,453,159,22733,139,13601,135,484,69,399,68,2468,34,652,*,*,11,50,*,*,104,14584,2219,92,12998,377,104,14584,519,*,*,154,3754,154,3874,--,--,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98542,219,499,167,7817,176,5666,72,54,28,19,27,173,21,21,*,*,--,--,--,--,56,3552,909,36,2678,69,57,3723,207,--,--,165,636,161,609,29,52,120
"Under $10,000        ",47,79,22,182,34,158,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,10,307,7,*,*,*,--,--,*,*,13,5,13,17,24
"$10,000 under $25,000",58,104,29,956,43,655,25,36,17,15,17,-2,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,51,33,44,37,16,35,21
"$25,000 under $50,000",57,156,61,2098,50,1800,19,8,*,*,*,*,21,21,*,*,--,--,--,--,23,724,269,*,*,*,23,713,57,--,--,57,131,47,112,*,*,39
"$50,000 under $75,000",36,103,37,2151,31,1717,14,4,11,4,10,175,*,*,*,*,--,--,--,--,18,1089,319,13,807,27,18,1089,70,--,--,36,184,36,166,--,--,21
"$75,000 under $100,000",11,34,14,936,18,1336,14,6,*,*,*,*,--,--,*,*,--,--,--,--,15,1739,321,13,1564,35,16,1921,80,--,--,11,104,11,93,--,--,15
"$100,000 or more     ",10,23,4,1494,*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,10,184,10,196,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98544,105,217,65,4466,83,3444,42,36,14,37,19,203,*,*,*,*,--,--,--,--,29,2072,461,20,1786,54,29,2111,102,--,--,81,448,74,430,19,24,71
"Under $10,000        ",21,29,3,112,13,69,13,11,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,11
"$10,000 under $25,000",23,45,11,411,16,255,*,*,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,20,11,19,15,19,24,14
"$25,000 under $50,000",31,63,24,1100,28,977,16,6,--,--,*,*,*,*,--,--,--,--,--,--,16,521,216,*,*,*,15,502,38,--,--,31,77,26,66,*,*,23
"$50,000 under $75,000",14,31,9,860,12,704,*,*,14,37,19,203,--,--,*,*,--,--,--,--,13,1551,245,20,1786,54,14,1609,64,--,--,14,88,13,83,--,--,10
"$75,000 under $100,000",16,49,18,1983,14,1439,13,19,*,*,*,*,--,--,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,16,272,16,266,--,--,13
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98546,1076,2120,454,55366,724,29998,645,1469,372,1568,329,3997,141,1505,*,*,27,88,--,--,442,32808,7727,371,29746,724,450,32706,2126,*,*,892,6077,869,6140,90,123,602
"Under $10,000        ",133,184,22,436,76,381,52,52,36,24,25,-17,16,98,--,--,--,--,--,--,12,68,153,*,*,*,20,-34,53,--,--,27,3,38,19,34,40,58
"$10,000 under $25,000",230,362,48,3977,122,1739,123,181,65,170,55,-28,27,200,--,--,13,32,--,--,59,1033,881,50,790,78,59,1033,198,--,--,162,119,158,176,34,65,124
"$25,000 under $50,000",307,644,174,11159,212,6868,164,328,87,247,77,233,34,223,--,--,*,*,--,--,109,4070,1516,85,3175,159,109,4070,384,--,--,298,742,270,690,22,18,177
"$50,000 under $75,000",210,468,107,13020,161,8651,147,335,84,280,67,111,30,345,*,*,14,56,--,--,117,7219,1793,100,6198,151,117,7219,529,--,--,209,1268,208,1251,--,--,119
"$75,000 under $100,000",99,242,64,8579,79,5111,75,129,38,207,39,220,15,398,--,--,--,--,--,--,70,6033,1247,63,5423,157,70,6033,342,--,--,99,979,98,991,--,--,58
"$100,000 or more     ",97,220,39,18195,74,7248,84,444,62,640,66,3478,19,241,*,*,*,*,--,--,75,14385,2137,73,14160,179,75,14385,620,*,*,97,2966,97,3013,--,--,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98547,533,1002,219,19585,350,9702,284,626,153,471,131,931,90,518,36,683,*,*,*,*,107,7390,1988,70,5424,232,113,7291,490,*,*,376,1878,382,2075,87,126,297
"Under $10,000        ",133,190,41,424,84,485,46,32,23,23,22,-7,19,12,*,*,--,--,--,--,*,*,*,--,--,--,*,*,*,--,--,16,2,31,13,49,46,50
"$10,000 under $25,000",141,244,51,2437,84,1362,72,105,28,59,26,-6,21,243,20,93,--,--,--,--,27,515,394,12,235,14,34,481,104,--,--,104,65,101,106,38,80,77
"$25,000 under $50,000",136,272,52,4944,94,2859,79,123,43,136,36,12,29,306,*,*,*,*,--,--,26,947,358,18,663,29,26,947,84,--,--,134,343,130,375,*,*,76
"$50,000 under $75,000",64,149,39,3858,50,2189,38,62,24,77,24,117,11,18,16,590,*,*,*,*,22,1333,454,24,1633,91,21,1268,79,--,--,64,365,63,404,--,--,50
"$75,000 under $100,000",21,55,14,1789,16,881,16,20,14,30,*,*,10,-61,*,*,--,--,--,--,11,941,257,*,*,*,11,941,40,--,--,21,174,21,190,--,--,16
"$100,000 or more     ",38,92,22,6133,22,1926,33,284,21,146,23,815,*,*,*,*,*,*,--,--,21,3654,525,16,2893,98,21,3654,183,*,*,37,929,36,987,--,--,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98548,975,1761,305,37825,629,18556,542,1105,309,710,262,2399,107,415,--,--,17,51,--,--,298,17531,4998,240,14617,532,301,17344,1408,*,*,728,3657,722,3756,119,195,536
"Under $10,000        ",181,239,23,683,109,573,64,76,31,38,30,-25,19,-45,--,--,--,--,--,--,17,94,257,12,53,11,24,24,68,--,--,26,3,38,16,46,37,76
"$10,000 under $25,000",270,481,109,4599,153,2289,127,196,69,126,56,-67,25,234,--,--,--,--,--,--,47,867,643,30,572,30,45,833,109,--,--,185,138,184,174,56,141,157
"$25,000 under $50,000",267,500,94,9685,177,5117,156,246,90,180,76,120,19,-59,--,--,*,*,--,--,86,3154,1309,68,2487,102,85,3128,344,--,--,260,672,244,637,17,17,135
"$50,000 under $75,000",133,279,44,8206,100,4615,98,195,55,91,37,88,27,184,--,--,17,51,--,--,70,4363,1199,60,3764,160,69,4306,347,--,--,133,780,132,774,--,--,89
"$75,000 under $100,000",64,136,19,5418,45,2595,45,74,27,162,22,115,*,*,--,--,*,*,--,--,39,3369,729,35,3035,74,39,3369,190,--,--,64,600,64,638,--,--,38
"$100,000 or more     ",60,126,16,9234,45,3367,52,318,37,113,41,2168,17,101,--,--,*,*,--,--,39,5684,861,35,4706,155,39,5684,350,*,*,60,1464,60,1517,--,--,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98550,4460,9253,2981,157626,3712,117550,1675,3071,794,4260,623,5601,527,4262,30,-104,95,271,*,*,696,48861,11337,526,38599,1400,698,48180,2617,25,103,3328,15467,3160,15002,908,1494,2298
"Under $10,000        ",1004,1445,318,4154,756,3722,236,230,118,229,94,-32,112,301,*,*,*,*,--,--,16,93,323,*,*,*,23,-352,62,--,--,186,28,274,111,371,413,439
"$10,000 under $25,000",1245,2287,742,21340,993,15830,354,548,161,305,121,96,123,861,17,-45,18,36,--,--,90,1697,1165,72,1254,117,89,1677,188,--,--,942,741,846,805,403,967,652
"$25,000 under $50,000",1245,2803,990,45616,1085,37267,468,679,189,395,133,171,164,1339,*,*,42,120,--,--,242,9242,2997,167,6382,327,241,9199,644,--,--,1234,3336,1084,3037,134,114,655
"$50,000 under $75,000",564,1571,543,34281,521,28395,315,430,141,474,105,416,64,738,13,-59,16,42,*,*,159,9838,2286,129,8030,270,156,9665,538,*,*,564,3214,554,2923,--,--,297
"$75,000 under $100,000",244,730,262,20823,224,16282,163,249,91,415,82,517,38,363,*,*,19,73,--,--,94,8184,1547,78,6773,208,94,8184,412,*,*,244,2345,244,2239,--,--,140
"$100,000 or more     ",158,417,126,31412,133,16054,139,935,94,2442,88,4433,26,660,--,--,*,*,*,*,95,19807,3019,80,16160,478,95,19807,773,25,103,158,5803,158,5887,--,--,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98552,139,311,111,3854,119,3047,35,9,*,*,*,*,19,102,--,--,*,*,--,--,10,415,138,*,*,*,10,402,26,--,--,95,256,91,261,30,56,80
"Under $10,000        ",36,55,13,167,27,149,10,2,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,12,3,13,15,20
"$10,000 under $25,000",36,74,25,600,28,465,*,*,--,--,--,--,19,102,--,--,--,--,--,--,10,415,138,*,*,*,10,402,26,--,--,30,20,23,30,17,41,24
"$25,000 under $50,000",41,101,40,1463,41,1331,12,1,*,*,*,*,*,*,--,--,*,*,--,--,*,*,*,--,--,--,*,*,*,--,--,41,105,33,91,*,*,21
"$50,000 under $75,000",26,81,33,1624,23,1102,13,6,*,*,*,*,*,*,--,--,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,24,131,23,137,--,--,15
"$75,000 under $100,000",*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98554,78,151,41,2547,56,1921,34,20,10,11,10,-13,*,*,*,*,--,--,--,--,14,715,178,10,513,5,14,722,38,--,--,61,208,60,188,*,*,55
"Under $10,000        ",14,20,2,64,*,*,12,11,10,11,10,-13,--,--,--,--,--,--,--,--,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*
"$10,000 under $25,000",21,31,6,355,19,202,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,*,*,*,--,--,19,13,19,20,*,*,23
"$25,000 under $50,000",25,39,5,872,20,641,10,8,*,*,*,*,*,*,*,*,--,--,--,--,14,715,178,10,513,5,14,722,38,--,--,24,69,24,67,--,--,20
"$50,000 under $75,000",18,61,28,1256,17,1078,12,1,*,*,*,*,--,--,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,18,126,17,101,--,--,12
"$75,000 under $100,000",*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
"$100,000 or more     ",*,*,*,*,--,--,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98555,247,449,75,10994,128,4090,157,326,82,207,83,898,33,17,*,*,*,*,--,--,81,5284,1423,65,4221,101,81,5288,367,*,*,201,1109,207,1127,14,14,127
"Under $10,000        ",45,67,14,171,23,140,13,3,*,*,*,*,13,12,--,--,--,--,--,--,*,*,*,--,--,--,*,*,*,--,--,12,2,21,11,14,14,19
"$10,000 under $25,000",57,87,9,1008,22,297,36,83,29,36,25,66,*,*,--,--,--,--,--,--,18,303,225,12,208,13,18,303,49,--,--,46,31,48,36,*,*,32
"$25,000 under $50,000",74,131,20,2760,40,1293,51,120,25,51,22,0,10,-9,--,--,*,*,--,--,22,830,359,18,695,28,22,830,76,--,--,72,202,68,209,--,--,35
"$50,000 under $75,000",37,92,23,2250,32,1339,28,34,13,46,18,68,10,14,*,*,--,--,--,--,29,1977,577,25,1683,43,29,1981,153,--,--,37,173,36,166,--,--,16
"$75,000 under $100,000",16,30,2,1466,*,*,14,57,15,74,18,764,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,16,168,16,171,--,--,13
"$100,000 or more     ",18,42,7,3339,11,1021,15,29,*,*,*,*,*,*,--,--,--,--,--,--,12,2174,262,10,1635,17,12,2174,89,*,*,18,533,18,534,--,--,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98556,252,498,124,12615,208,9193,119,71,44,35,30,424,36,117,*,*,*,*,*,*,101,8095,1770,93,7453,154,100,8034,573,*,*,205,1326,195,1330,22,28,124
"Under $10,000        ",39,46,4,141,29,135,10,6,*,*,*,*,12,9,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,*,*,*,*,*,*,18
"$10,000 under $25,000",41,67,19,706,30,500,10,5,19,14,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,35,28,31,26,22,28,21
"$25,000 under $50,000",73,146,44,2774,61,2108,36,23,*,*,18,10,*,*,--,--,*,*,--,--,26,974,349,26,947,17,25,913,120,--,--,71,221,65,221,*,*,31
"$50,000 under $75,000",44,103,27,2689,39,2045,21,22,15,17,*,*,13,122,--,--,--,--,--,--,28,1688,473,23,1387,37,28,1688,148,--,--,44,249,44,258,--,--,21
"$75,000 under $100,000",27,68,16,2329,25,1956,20,4,*,*,*,*,11,-14,*,*,--,--,--,--,23,1980,417,22,1884,55,23,1980,125,--,--,27,248,27,237,--,--,15
"$100,000 or more     ",28,68,14,3976,24,2449,22,11,10,4,12,414,*,*,*,*,--,--,*,*,24,3453,531,22,3235,45,24,3453,180,*,*,28,580,28,588,--,--,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98557,1252,2626,810,48960,1064,40193,546,359,164,184,130,252,147,906,15,-106,19,37,--,--,337,19978,4982,270,16418,523,336,19908,1105,*,*,1010,4535,950,4246,172,269,579
"Under $10,000        ",203,269,42,884,149,754,60,35,14,32,14,13,18,66,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,38,6,50,16,54,55,82
"$10,000 under $25,000",297,509,131,5052,219,3498,104,105,38,55,27,-20,28,133,*,*,*,*,--,--,42,651,468,33,511,64,42,623,89,--,--,225,174,204,182,77,181,134
"$25,000 under $50,000",387,816,280,14365,348,12072,149,57,37,24,31,28,52,376,*,*,19,37,--,--,117,4531,1557,86,3344,123,116,4489,334,--,--,383,1090,333,983,41,33,180
"$50,000 under $75,000",220,603,208,13548,207,11771,139,62,42,45,28,81,32,252,15,-106,*,*,--,--,84,5193,1186,73,4531,143,84,5193,270,--,--,219,1298,218,1171,--,--,102
"$75,000 under $100,000",95,282,101,8052,93,7308,55,40,16,6,16,5,17,79,*,*,--,--,--,--,58,4950,914,47,3970,63,58,4950,225,--,--,95,901,95,839,--,--,47
"$100,000 or more     ",50,147,48,7059,48,4790,39,60,17,22,14,145,*,*,--,--,--,--,--,--,36,4653,857,31,4062,130,36,4653,187,*,*,50,1066,50,1055,--,--,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98558,784,1651,473,35327,656,26656,307,256,146,215,104,288,105,612,15,-134,*,*,*,*,309,19865,5005,233,15754,403,312,19661,1469,*,*,634,3541,622,3487,94,132,402
"Under $10,000        ",144,199,37,462,88,531,37,50,15,11,23,23,30,-18,--,--,--,--,--,--,11,61,126,*,*,*,16,-88,63,--,--,30,5,47,22,41,36,65
"$10,000 under $25,000",158,241,53,2638,132,2051,37,48,16,13,*,*,15,70,*,*,--,--,--,--,22,344,302,21,257,36,22,344,71,--,--,124,110,122,119,33,76,72
"$25,000 under $50,000",200,441,137,7325,175,5900,73,39,28,18,23,7,22,167,15,-134,*,*,--,--,78,2964,1082,49,1881,74,76,2909,271,--,--,198,496,176,448,20,20,105
"$50,000 under $75,000",160,455,164,9792,152,8499,77,59,48,28,24,4,25,355,*,*,*,*,--,--,108,6659,1704,87,5372,143,108,6659,511,--,--,160,860,156,786,--,--,88
"$75,000 under $100,000",73,195,54,6221,70,5272,45,12,18,26,14,34,13,38,*,*,--,--,--,--,50,4252,919,41,3495,62,50,4252,260,--,--,73,673,72,651,--,--,40
"$100,000 or more     ",49,120,28,8889,39,4403,38,48,21,119,20,220,*,*,*,*,--,--,*,*,40,5585,872,35,4749,88,40,5585,293,*,*,49,1397,49,1461,--,--,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98559,40,97,37,906,32,632,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,17,44,16,50,13,26,20
"Under $10,000        ",15,31,12,69,11,60,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,13,26,10
"$10,000 under $25,000",11,23,9,197,10,159,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*
"$25,000 under $50,000",14,43,16,640,11,413,*,*,--,--,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,44,16,50,--,--,10
"$50,000 under $75,000",*,*,*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98560,123,243,62,4268,107,3655,35,8,14,1,13,-6,12,79,*,*,*,*,--,--,19,1123,266,14,857,8,19,1144,55,--,--,95,366,96,367,13,18,59
"Under $10,000        ",24,31,3,107,19,97,*,*,*,*,*,*,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,13,18,10
"$10,000 under $25,000",33,55,11,598,25,426,12,6,*,*,13,-6,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,29,24,32,29,*,*,14
"$25,000 under $50,000",36,77,25,1284,35,1123,12,2,14,1,*,*,12,79,*,*,*,*,--,--,*,*,*,14,857,8,*,*,*,--,--,36,95,34,98,*,*,15
"$50,000 under $75,000",18,42,9,1097,16,896,11,0,*,*,*,*,*,*,--,--,--,--,--,--,19,1123,266,*,*,*,19,1144,55,--,--,18,104,18,104,--,--,20
"$75,000 under $100,000",12,38,14,1182,12,1113,*,*,--,--,--,--,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,12,143,12,136,--,--,*
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98561,94,198,54,4019,73,3003,48,22,22,27,17,2,*,*,*,*,--,--,--,--,21,1653,312,11,767,4,20,1573,78,--,--,73,388,70,376,*,*,60
